POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w,Season
98,Deepak Hooda LSG,1,15,2,4,43,31/1,43,10.75,24,0,0,2022
99,Shreyas Gopal SRH,1,1,1,3,34,34/1,34,11.33,18,0,0,2022
100,Fabian Allen MI,1,1,1,4,46,46/1,46,11.5,24,0,0,2022
101,Sean Abbott SRH,1,1,1,4,47,47/1,47,11.75,24,0,0,2022
102,Riyan Parag RR,1,17,4,4,59,12/1,59,14.75,24,0,0,2022
103,Dewald Brevis MI,1,7,1,0.3,8,8/1,8,16,3,0,0,2022
,,,,,,,,,,,,,2023
1,Mohammad Shami GT,28,17,17,65,522,11/4,18.64,8.03,13.92,2,0,2023
2,Mohit Sharma GT,27,14,14,44.1,361,10/5,13.37,8.17,9.81,2,1,2023
3,Rashid Khan GT,27,17,17,67,552,30/4,20.44,8.23,14.88,1,0,2023
4,Piyush Chawla MI,22,16,16,61,495,22/3,22.5,8.11,16.63,0,0,2023
5,Yuzvendra Chahal RR,21,14,14,52.5,432,17/4,20.57,8.17,15.09,3,0,2023
6,Tushar Deshpande CSK,21,16,16,56.5,564,45/3,26.85,9.92,16.23,0,0,2023
7,Ravindra Jadeja CSK,20,16,16,57,431,20/3,21.55,7.56,17.1,0,0,2023
8,Varun Chakaravarthy KKR,20,14,14,52.4,429,15/4,21.45,8.14,15.8,1,0,2023
9,Mohammed Siraj RCB,19,14,14,50,376,21/4,19.78,7.52,15.78,1,0,2023
10,Matheesha Pathirana CSK,19,12,12,46.2,371,15/3,19.52,8,14.63,0,0,2023
11,Arshdeep Singh PBKS,17,14,14,50.5,493,29/4,29,9.69,17.94,1,0,2023
12,Ravi Bishnoi LSG,16,15,14,50.3,391,28/3,24.43,7.74,18.93,0,0,2023
13,Noor Ahmad GT,16,13,13,47.1,369,37/3,23.06,7.82,17.68,0,0,2023
14,Bhuvneshwar Kumar SRH,16,14,14,51,425,30/5,26.56,8.33,19.12,0,1,2023
15,Ravichandran Ashwin RR,14,13,13,49,368,23/2,26.28,7.51,21,0,0,2023
16,Akash Madhwal MI,14,8,8,25.3,219,5/5,15.64,8.58,10.92,1,1,2023
17,Jason Behrendorff MI,14,12,12,42,387,23/3,27.64,9.21,18,0,0,2023
18,Harshal Patel RCB,14,13,13,47,454,32/3,32.42,9.65,20.14,0,0,2023
19,Trent Boult RR,13,10,10,38,312,29/3,24,8.21,17.53,0,0,2023
20,Deepak Chahar CSK,13,10,10,34,297,22/3,22.84,8.73,15.69,0,0,2023
21,Nathan Ellis PBKS,13,10,10,38,339,30/4,26.07,8.92,17.53,1,0,2023
22,Yash Thakur LSG,13,9,9,31.5,289,37/4,22.23,9.07,14.69,1,0,2023
23,Mayank Markande SRH,12,10,10,38,300,15/4,25,7.89,19,1,0,2023
24,Mitchell Marsh DC,12,9,8,20.1,170,27/4,14.16,8.42,10.08,1,0,2023
25,Axar Patel DC,11,14,13,47,338,13/2,30.72,7.19,25.63,0,0,2023
26,Naveen-Ul-Haq LSG,11,8,7,28,219,38/4,19.9,7.82,15.27,1,0,2023
27,Sunil Narine KKR,11,14,14,48,383,33/3,34.81,7.97,26.18,0,0,2023
28,Maheesh Theekshana CSK,11,13,13,49,392,23/2,35.63,8,26.72,0,0,2023
29,Mark Wood LSG,11,4,4,16,130,14/5,11.81,8.12,8.72,0,1,2023
30,Kuldeep Yadav DC,10,14,14,49,361,15/2,36.1,7.36,29.4,0,0,2023
31,Suyash Sharma KKR,10,11,11,39,321,30/3,32.1,8.23,23.4,0,0,2023
32,Ishant Sharma DC,10,8,8,25,206,19/2,20.6,8.24,15,0,0,2023
33,Sandeep Sharma RR,10,12,12,46,396,25/2,39.6,8.6,27.6,0,0,2023
34,Anrich Nortje DC,10,10,10,40,364,20/2,36.4,9.1,24,0,0,2023
35,T Natarajan SRH,10,12,12,45,410,23/2,41,9.11,27,0,0,2023
36,Marco Jansen SRH,10,8,8,27,267,16/2,26.7,9.88,16.2,0,0,2023
37,Sam Curran PBKS,10,14,14,47.5,489,31/3,48.9,10.22,28.7,0,0,2023
38,Karn Sharma RCB,10,7,7,21.3,223,19/2,22.3,10.37,12.9,0,0,2023
39,Krunal Pandya LSG,9,15,12,42,313,18/3,34.77,7.45,28,0,0,2023
40,Moeen Ali CSK,9,15,11,26,195,26/4,21.66,7.5,17.33,1,0,2023
41,Harpreet Brar PBKS,9,13,11,27.1,218,30/4,24.22,8.02,18.11,1,0,2023
42,Wanindu Hasaranga RCB,9,8,8,29,258,24/2,28.66,8.89,19.33,0,0,2023
43,Khaleel Ahmed DC,9,9,9,33,301,24/2,33.44,9.12,22,0,0,2023
44,Wayne Parnell RCB,9,7,7,25.1,236,10/3,26.22,9.37,16.77,0,0,2023
45,Vyshak Vijaykumar RCB,9,7,7,24,253,20/3,28.11,10.54,16,0,0,2023
46,Rahul Chahar PBKS,8,14,14,49.4,385,16/2,48.12,7.75,37.25,0,0,2023
47,Adam Zampa RR,8,6,6,22,188,22/3,23.5,8.54,16.5,0,0,2023
48,Avesh Khan LSG,8,9,9,29,283,25/3,35.37,9.75,21.75,0,0,2023
49,Amit Mishra LSG,7,7,7,19,149,21/2,21.28,7.84,16.28,0,0,2023
50,Josh Little GT,7,10,10,34,294,25/2,42,8.64,29.14,0,0,2023
51,Alzarri Joseph GT,7,7,7,24,225,27/2,32.14,9.37,20.57,0,0,2023
52,Kagiso Rabada PBKS,7,6,6,23,232,34/2,33.14,10.08,19.71,0,0,2023
53,Shardul Thakur KKR,7,11,9,21,220,23/2,31.42,10.47,18,0,0,2023
54,Mukesh Kumar DC,7,10,10,31,326,30/2,46.57,10.51,26.57,0,0,2023
55,Riley Meredith MI,7,5,5,19.4,207,33/2,29.57,10.52,16.85,0,0,2023
56,Andre Russell KKR,7,14,9,15.1,172,22/3,24.57,11.34,13,0,0,2023
57,Michael Bracewell RCB,6,5,5,11,95,13/2,15.83,8.63,11,0,0,2023
58,Cameron Green MI,6,16,16,38,361,41/2,60.16,9.5,38,0,0,2023
59,Harshit Rana KKR,5,6,6,17,147,33/2,29.4,8.64,20.4,0,0,2023
60,Kumar Kartikeya Singh MI,5,8,8,26,227,37/2,45.4,8.73,31.2,0,0,2023
61,Vaibhav Arora KKR,5,5,5,16,146,30/2,29.2,9.12,19.2,0,0,2023
62,Marcus Stoinis LSG,5,15,5,10.5,100,20/2,20,9.23,13,0,0,2023
63,Akash Singh CSK,5,6,6,19,188,40/2,37.6,9.89,22.8,0,0,2023
64,Umran Malik SRH,5,8,8,20,217,32/2,43.4,10.85,24,0,0,2023
65,Arshad Khan MI,5,6,6,14.1,190,39/3,38,13.41,17,0,0,2023
66,Fazalhaq Farooqi SRH,4,4,4,13.2,117,41/2,29.25,8.77,20,0,0,2023
67,Jason Holder RR,4,8,8,28.3,284,29/2,71,9.96,42.75,0,0,2023
68,Mitchell Santner CSK,3,3,3,12,81,28/2,27,6.75,24,0,0,2023
69,David Willey RCB,3,4,4,15,105,16/2,35,7,30,0,0,2023
70,Krishnappa Gowtham LSG,3,7,6,16,118,10/1,39.33,7.37,32,0,0,2023
71,Anukul Roy KKR,3,4,3,8,65,19/2,21.66,8.12,16,0,0,2023
72,Washington Sundar SRH,3,7,7,17.4,146,28/3,48.66,8.26,35.33,0,0,2023
73,Josh Hazlewood RCB,3,3,3,9,76,15/2,25.33,8.44,18,0,0,2023
74,Nitish Rana KKR,3,14,6,8.5,75,17/2,25,8.49,17.66,0,0,2023
75,Yudhvir Singh LSG,3,3,3,8,70,19/2,23.33,8.75,16,0,0,2023
76,Glenn Maxwell RCB,3,14,7,10.2,94,3/1,31.33,9.09,20.66,0,0,2023
77,Hardik Pandya GT,3,16,11,25,228,10/1,76,9.12,50,0,0,2023
78,Arjun Tendulkar MI,3,4,4,9.5,92,9/1,30.66,9.35,19.66,0,0,2023
79,Hrithik Shokeen MI,3,8,8,19,187,34/2,62.33,9.84,38,0,0,2023
80,Asif K M RR,3,4,4,14,138,42/2,46,9.85,28,0,0,2023
81,Sikandar Raza PBKS,3,7,6,12,119,19/1,39.66,9.91,24,0,0,2023
82,Rajvardhan Hangargekar CSK,3,2,2,6,60,36/3,20,10,12,0,0,2023
83,Mohsin Khan LSG,3,5,4,10,107,24/1,35.66,10.7,20,0,0,2023
84,Chris Jordan MI,3,6,6,22,237,7/1,79,10.77,44,0,0,2023
85,Chetan Sakariya DC,3,2,2,8,89,53/2,29.66,11.12,16,0,0,2023
86,Navdeep Saini RR,3,2,2,6,74,40/3,24.66,12.33,12,0,0,2023
87,Adil Rashid SRH,2,2,2,7,56,23/2,28,8,21,0,0,2023
88,Lalit Yadav DC,2,6,4,13,118,29/1,59,9.07,39,0,0,2023
89,Jofra Archer MI,2,5,5,20,190,35/1,95,9.5,60,0,0,2023
90,Kuldip Yadav RR,2,2,2,7,68,18/1,34,9.71,21,0,0,2023
91,Abhishek Sharma SRH,2,11,5,12,124,26/1,62,10.33,36,0,0,2023
92,Yash Dayal GT,2,5,5,14,165,31/1,82.5,11.78,42,0,0,2023
93,Tim Southee KKR,2,2,2,6,79,54/2,39.5,13.16,18,0,0,2023
94,Liam Livingstone PBKS,2,9,5,7,94,19/1,47,13.42,21,0,0,2023
95,Kulwant Khejroliya KKR,2,2,2,4.2,64,44/2,32,14.76,13,0,0,2023
96,Praveen Dubey DC,1,1,1,3,19,19/1,19,6.33,18,0,0,2023
97,Glenn Phillips SRH,1,5,2,3,20,10/1,20,6.66,18,0,0,2023
98,Tristan Stubbs MI,1,2,1,2,14,14/1,14,7,12,0,0,2023
99,Reece Topley RCB,1,1,1,2,14,14/1,14,7,12,0,0,2023
100,Mayank Dagar SRH,1,3,3,11,83,37/1,83,7.54,66,0,0,2023
101,Sisanda Magala CSK,1,2,2,6,51,37/1,51,8.5,36,0,0,2023
102,Rishi Dhawan PBKS,1,6,4,7,60,20/1,60,8.57,42,0,0,2023
103,Aiden Markram SRH,1,13,6,8.1,70,24/1,70,8.57,49,0,0,2023
104,Rovman Powell DC,1,3,1,2,18,18/1,18,9,12,0,0,2023
105,Umesh Yadav KKR,1,8,8,19,189,27/1,189,9.94,114,0,0,2023
106,Akeal Hosein SRH,1,1,1,4,40,40/1,40,10,24,0,0,2023
107,Darshan Nalkande GT,1,1,1,4,44,44/1,44,11,24,0,0,2023
108,Mustafizur Rahman DC,1,2,2,7,79,38/1,79,11.28,42,0,0,2023
109,Akash Deep RCB,1,2,2,5,59,29/1,59,11.8,30,0,0,2023
110,Lockie Ferguson KKR,1,3,3,7.4,96,19/1,96,12.52,46,0,0,2023
111,Duan Jansen MI,1,1,1,4,53,53/1,53,13.25,24,0,0,2023
112,Shahbaz Ahmed RCB,1,10,5,7,95,38/1,95,13.57,42,0,0,2023
113,Kartik Tyagi SRH,1,3,3,6.1,92,30/1,92,14.91,37,0,0,2023
,,,,,,,,,,,,,2024
1,Harshal Patel PBKS,24,14,14,49,477,15/3,19.87,9.73,12.25,0,0,2024
2,Varun Chakaravarthy KKR,21,15,14,50,402,16/3,19.14,8.04,14.28,0,0,2024
3,Jasprit Bumrah MI,20,13,13,51.5,336,21/5,16.8,6.48,15.55,0,1,2024
4,T Natarajan SRH,19,14,14,51.2,465,19/4,24.47,9.05,16.21,1,0,2024
5,Harshit Rana KKR,19,13,11,42.1,383,24/3,20.15,9.08,13.31,0,0,2024
6,Avesh Khan RR,19,16,15,54.5,526,27/3,27.68,9.59,17.31,0,0,2024
7,Arshdeep Singh PBKS,19,14,14,50.2,505,29/4,26.57,10.03,15.89,1,0,2024
8,Andre Russell KKR,19,15,14,29.2,295,19/3,15.52,10.05,9.26,0,0,2024
9,Pat Cummins SRH,18,16,16,61,566,43/3,31.44,9.27,20.33,0,0,2024
10,Yuzvendra Chahal RR,18,15,15,58,546,11/3,30.33,9.41,19.33,0,0,2024
11,Sunil Narine KKR,17,15,14,55,368,22/2,21.64,6.69,19.41,0,0,2024
12,Tushar Deshpande CSK,17,13,13,48,424,27/4,24.94,8.83,16.94,1,0,2024
13,Khaleel Ahmed DC,17,14,14,50,479,21/2,28.17,9.58,17.64,0,0,2024
14,Mukesh Kumar DC,17,10,10,35.3,368,14/3,21.64,10.36,12.52,0,0,2024
15,Mitchell Starc KKR,17,14,13,41.5,444,33/4,26.11,10.61,14.76,1,0,2024
16,Trent Boult RR,16,16,15,53.2,443,22/3,27.68,8.3,20,0,0,2024
17,Kuldeep Yadav DC,16,11,11,43,374,55/4,23.37,8.69,16.12,1,0,2024
18,Sam Curran PBKS,16,13,13,41,416,28/3,26,10.14,15.37,0,0,2024
19,Yash Dayal RCB,15,14,14,50.1,459,20/3,30.6,9.14,20.06,0,0,2024
20,Mohammed Siraj RCB,15,14,14,54,496,43/3,33.06,9.18,21.6,0,0,2024
21,Mustafizur Rahman CSK,14,9,9,34.2,318,29/4,22.71,9.26,14.71,1,0,2024
22,Naveen-Ul-Haq LSG,14,10,10,36.3,372,49/3,26.57,10.19,15.64,0,0,2024
23,Matheesha Pathirana CSK,13,6,6,22,169,28/4,13,7.68,10.15,1,0,2024
24,Sandeep Sharma RR,13,11,10,38,311,18/5,23.92,8.18,17.53,0,1,2024
25,Piyush Chawla MI,13,11,11,35,312,29/3,24,8.91,16.15,0,0,2024
26,Gerald Coetzee MI,13,10,10,33.3,341,34/4,26.23,10.17,15.46,1,0,2024
27,Mohit Sharma GT,13,12,11,39,425,25/3,32.69,10.89,18,0,0,2024
28,Axar Patel DC,11,14,14,44,337,25/2,30.63,7.65,24,0,0,2024
29,Kagiso Rabada PBKS,11,11,11,42,372,18/2,33.81,8.85,22.9,0,0,2024
30,Vaibhav Arora KKR,11,10,10,30,276,27/3,25.09,9.2,16.36,0,0,2024
31,Bhuvneshwar Kumar SRH,11,16,16,57,533,41/3,48.45,9.35,31.09,0,0,2024
32,Hardik Pandya MI,11,14,12,36,387,31/3,35.18,10.75,19.63,0,0,2024
33,Yash Thakur LSG,11,10,10,35.3,402,30/5,36.54,11.32,19.36,0,1,2024
34,Rashid Khan GT,10,12,12,43.4,367,38/2,36.7,8.4,26.2,0,0,2024
35,Cameron Green RCB,10,13,13,35.1,303,12/2,30.3,8.61,21.1,0,0,2024
36,Ravi Bishnoi LSG,10,14,14,43.4,383,25/2,38.3,8.77,26.2,0,0,2024
37,Rahul Chahar PBKS,10,9,9,31,279,23/3,27.9,9,18.6,0,0,2024
38,Ishant Sharma DC,10,9,9,27,265,34/3,26.5,9.81,16.2,0,0,2024
39,Mohsin Khan LSG,10,9,10,38,385,29/2,38.5,10.13,22.8,0,0,2024
40,Ravichandran Ashwin RR,9,15,14,55,467,24/3,51.88,8.49,36.66,0,0,2024
41,Lockie Ferguson RCB,9,7,7,24,255,23/2,28.33,10.62,16,0,0,2024
42,Rasikh Salam DC,9,8,8,24.3,269,34/3,29.88,10.97,16.33,0,0,2024
43,Ravindra Jadeja CSK,8,14,14,47,369,18/3,46.12,7.85,35.25,0,0,2024
44,Noor Ahmad GT,8,10,10,34.5,290,20/2,36.25,8.32,26.12,0,0,2024
45,Nuwan Thushara MI,8,7,7,26,257,28/3,32.12,9.88,19.5,0,0,2024
46,Umesh Yadav GT,8,7,7,21,210,22/2,26.25,10,15.75,0,0,2024
47,Jaydev Unadkat SRH,8,11,11,31.1,319,30/3,39.87,10.23,23.37,0,0,2024
48,Mayank Markande SRH,8,7,7,22,259,26/2,32.37,11.77,16.5,0,0,2024
49,Mayank Yadav LSG,7,4,4,12.1,85,14/3,12.14,6.98,10.42,0,0,2024
50,Harpreet Brar PBKS,7,13,13,38,303,13/2,43.28,7.97,32.57,0,0,2024
51,Nandre Burger RR,7,6,5,17,145,29/2,20.71,8.52,14.57,0,0,2024
52,Sai Kishore GT,7,5,5,15,137,33/4,19.57,9.13,12.85,1,0,2024
53,Shahbaz Ahmed SRH,7,16,15,27.3,270,23/3,38.57,9.81,23.57,0,0,2024
54,Karn Sharma RCB,7,9,9,24,254,29/2,36.28,10.58,20.57,0,0,2024
55,Anrich Nortje DC,7,6,6,22,294,59/3,42,13.36,18.85,0,0,2024
56,Krunal Pandya LSG,6,14,12,33,255,11/3,42.5,7.72,33,0,0,2024
57,Glenn Maxwell RCB,6,10,6,16,129,23/2,21.5,8.06,16,0,0,2024
58,Swapnil Singh RCB,6,7,7,15,133,28/2,22.16,8.86,15,0,0,2024
59,Kuldeep Sen RR,6,3,3,12,122,41/3,20.33,10.16,12,0,0,2024
60,Sandeep Warrier GT,6,5,5,11,119,15/3,19.83,10.81,11,0,0,2024
61,Deepak Chahar CSK,5,8,8,23.3,202,28/2,40.4,8.59,28.2,0,0,2024
62,Shardul Thakur CSK,5,9,9,31.4,309,61/2,61.8,9.75,38,0,0,2024
63,Simarjeet Singh CSK,5,4,4,12,121,26/3,24.2,10.08,14.4,0,0,2024
64,Akash Madhwal MI,5,5,5,18.1,205,20/3,41,11.28,21.8,0,0,2024
65,Azmatullah Omarzai GT,4,7,7,21,186,27/2,46.5,8.85,31.5,0,0,2024
66,Marcus Stoinis LSG,4,14,7,14,126,3/1,31.5,9,21,0,0,2024
67,Spencer Johnson GT,4,5,5,16,151,25/2,37.75,9.43,24,0,0,2024
68,Vyshak Vijaykumar RCB,4,4,4,14.3,142,23/2,35.5,9.79,21.75,0,0,2024
69,Reece Topley RCB,4,4,4,15,168,27/2,42,11.2,22.5,0,0,2024
70,Josh Little GT,4,1,1,4,45,45/4,11.25,11.25,6,1,0,2024
71,Liam Livingstone PBKS,3,7,4,12,84,19/2,28,7,24,0,0,2024
72,Tristan Stubbs DC,3,14,2,2,15,11/2,5,7.5,4,0,0,2024
73,Darshan Nalkande GT,3,3,3,4.5,45,21/2,15,9.31,9.66,0,0,2024
74,Shreyas Gopal MI,3,3,3,7,67,9/1,22.33,9.57,14,0,0,2024
75,Nitish Kumar Reddy SRH,3,13,7,13.1,153,17/2,51,11.62,26.33,0,0,2024
76,Keshav Maharaj RR,2,2,2,6,39,23/2,19.5,6.5,18,0,0,2024
77,Mitchell Santner CSK,2,3,3,9,64,10/1,32,7.11,27,0,0,2024
78,Maheesh Theekshana CSK,2,5,5,20,144,27/1,72,7.2,60,0,0,2024
79,Abhishek Sharma SRH,2,16,4,7,51,24/2,25.5,7.28,21,0,0,2024
80,Mohammad Nabi MI,2,7,6,12.2,109,16/1,54.5,8.83,37,0,0,2024
81,Moeen Ali CSK,2,8,4,8,71,23/2,35.5,8.87,24,0,0,2024
82,Vidwath Kaverappa PBKS,2,1,1,4,36,36/2,18,9,12,0,0,2024
83,Will Jacks RCB,2,8,5,9,100,23/1,50,11.11,27,0,0,2024
84,Anshul Kamboj MI,2,3,3,10,114,24/1,57,11.4,30,0,0,2024
85,Shashank Singh PBKS,1,14,1,1,5,5/1,5,5,6,0,0,2024
86,Nathan Ellis PBKS,1,1,1,4,24,24/1,24,6,24,0,0,2024
87,M Siddharth LSG,1,3,3,9,71,21/1,71,7.88,54,0,0,2024
88,Vijayakanth Viyaskanth SRH,1,3,3,10,86,37/1,86,8.6,60,0,0,2024
89,Richard Gleeson CSK,1,2,2,7.5,71,30/1,71,9.06,47,0,0,2024
90,Matt Henry LSG,1,4,4,12,110,28/1,110,9.16,72,0,0,2024
91,Amit Mishra LSG,1,1,1,2,20,20/1,20,10,12,0,0,2024
92,Mayank Dagar RCB,1,5,5,11.5,120,23/1,120,10.14,71,0,0,2024
93,Arshad Khan LSG,1,4,4,10.1,114,45/1,114,11.21,61,0,0,2024
94,Daryl Mitchell CSK,1,13,2,6,70,18/1,70,11.66,36,0,0,2024
95,Alzarri Joseph RCB,1,3,3,9.4,115,43/1,115,11.89,58,0,0,2024
96,Lizaad Williams DC,1,2,2,6,72,38/1,72,12,36,0,0,2024
97,Mitchell Marsh DC,1,4,3,8,103,37/1,103,12.87,48,0,0,2024
98,Marco Jansen SRH,1,3,3,10,129,45/1,129,12.9,60,0,0,2024
99,Yudhvir Singh LSG,1,2,2,4,52,24/1,52,13,24,0,0,2024
100,Romario Shepherd MI,1,6,5,12,159,54/1,159,13.25,72,0,0,2024
101,Shivam Dube CSK,1,14,1,1,14,14/1,14,14,6,0,0,2024
102,Washington Sundar SRH,1,2,2,5,73,46/1,73,14.6,30,0,0,2024
103,Kwena Maphaka MI,1,2,2,6,89,23/1,89,14.83,36,0,0,2024
104,Luke Wood MI,1,2,2,6,93,68/1,93,15.5,36,0,0,2024
105,Akash Deep RCB,1,1,1,3.3,55,55/1,55,15.71,21,0,0,2024
,,,,,,,,,,,,,2025
1,Prasidh Krishna GT,25,15,15,59,488,41/4,19.52,8.27,14.16,1,0,2025
2,Noor Ahmad CSK,24,14,14,50,408,18/4,17,8.16,12.5,2,0,2025
3,Josh Hazlewood RCB,22,12,12,44,386,33/4,17.54,8.77,12,1,0,2025
4,Trent Boult MI,22,16,16,57.4,517,26/4,23.5,8.96,15.72,1,0,2025
5,Arshdeep Singh PBKS,21,17,16,58.2,518,16/3,24.66,8.88,16.66,0,0,2025
6,Sai Kishore GT,19,15,15,42.3,393,30/3,20.68,9.24,13.42,0,0,2025
7,Jasprit Bumrah MI,18,12,12,47.2,316,22/4,17.55,6.67,15.77,1,0,2025
8,Varun Chakaravarthy KKR,17,13,13,50,383,22/3,22.52,7.66,17.64,0,0,2025
9,Krunal Pandya RCB,17,15,15,46,379,45/4,22.29,8.23,16.23,1,0,2025
10,Bhuvneshwar Kumar RCB,17,14,14,52,483,33/3,28.41,9.28,18.35,0,0,2025
11,Vaibhav Arora KKR,17,12,12,42.3,430,29/3,25.29,10.11,15,0,0,2025
12,Pat Cummins SRH,16,14,14,49.4,450,19/3,28.12,9.06,18.62,0,0,2025
13,Marco Jansen PBKS,16,14,14,47.1,434,17/3,27.12,9.2,17.68,0,0,2025
14,Mohammed Siraj GT,16,15,15,57,527,17/4,32.93,9.24,21.37,1,0,2025
15,Yuzvendra Chahal PBKS,16,14,13,45,430,28/4,26.87,9.55,16.87,2,0,2025
16,Harshal Patel SRH,16,13,13,43.5,430,28/4,26.87,9.8,16.43,2,0,2025
17,Kuldeep Yadav DC,15,14,13,51,361,22/3,24.06,7.07,20.4,0,0,2025
18,Khaleel Ahmed CSK,15,14,14,46.4,447,29/3,29.8,9.57,18.66,0,0,2025
19,Harshit Rana KKR,15,13,13,44,448,25/3,29.86,10.18,17.6,0,0,2025
20,Digvesh Singh LSG,14,13,13,52,429,30/2,30.64,8.25,22.28,0,0,2025
21,Hardik Pandya MI,14,15,14,35,342,36/5,24.42,9.77,15,0,1,2025
22,Mitchell Starc DC,14,11,10,36,366,35/5,26.14,10.16,15.42,0,1,2025
23,Eshan Malinga SRH,13,7,7,26.4,238,31/3,18.3,8.92,12.3,0,0,2025
24,Yash Dayal RCB,13,15,15,49,470,18/2,36.15,9.59,22.61,0,0,2025
25,Matheesha Pathirana CSK,13,12,12,41.5,424,36/3,32.61,10.13,19.3,0,0,2025
26,Avesh Khan LSG,13,13,13,47.2,487,37/3,37.46,10.28,21.84,0,0,2025
27,Shardul Thakur LSG,13,10,10,34,375,34/4,28.84,11.02,15.69,1,0,2025
28,Sunil Narine KKR,12,12,12,45,351,13/3,29.25,7.8,22.5,0,0,2025
29,Mukesh Kumar DC,12,12,12,39.3,408,33/4,34,10.32,19.75,1,0,2025
30,Jaydev Unadkat SRH,11,7,7,23.5,175,24/3,15.9,7.34,13,0,0,2025
31,Wanindu Hasaranga RR,11,11,11,41,371,35/4,33.72,9.04,22.36,1,0,2025
32,Vipraj Nigam DC,11,14,13,39,356,18/2,32.36,9.12,21.27,0,0,2025
33,Deepak Chahar MI,11,14,14,41,376,12/2,34.18,9.17,22.36,0,0,2025
34,Jofra Archer RR,11,12,12,45.3,431,25/3,39.18,9.47,24.81,0,0,2025
35,Maheesh Theekshana RR,11,11,11,42,410,26/2,37.27,9.76,22.9,0,0,2025
36,Ashwani Kumar MI,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0,2025
37,Mitchell Santner MI,10,13,13,39.3,313,11/3,31.3,7.92,23.7,0,0,2025
38,Ravindra Jadeja CSK,10,14,14,37.5,324,17/2,32.4,8.56,22.7,0,0,2025
39,Harpreet Brar PBKS,10,8,7,22,190,22/3,19,8.63,13.2,0,0,2025
40,Rashid Khan GT,9,15,15,55,514,25/2,57.11,9.34,36.66,0,0,2025
41,Sandeep Sharma RR,9,10,10,36.3,361,21/2,40.11,9.89,24.33,0,0,2025
42,Tushar Deshpande RR,9,10,10,32,340,44/3,37.77,10.62,21.33,0,0,2025
43,Ravi Bishnoi LSG,9,11,11,37,401,18/2,44.55,10.83,24.66,0,0,2025
44,Anshul Kamboj CSK,8,8,8,21.3,172,13/3,21.5,8,16.12,0,0,2025
45,Suyash Sharma RCB,8,14,14,50,442,17/3,55.25,8.84,37.5,0,0,2025
46,Azmatullah Omarzai PBKS,8,9,8,27,279,33/2,34.87,10.33,20.25,0,0,2025
47,Andre Russell KKR,8,13,9,18.1,217,21/2,27.12,11.94,13.62,0,0,2025
48,Karn Sharma MI,7,6,5,15,128,23/3,18.28,8.53,12.85,0,0,2025
49,Ravichandran Ashwin CSK,7,9,9,31,283,41/2,40.42,9.12,26.57,0,0,2025
50,Moeen Ali KKR,6,6,5,16,136,23/2,22.66,8.5,16,0,0,2025
51,Will Jacks MI,6,13,8,14,120,14/2,20,8.57,14,0,0,2025
52,Vignesh Puthur MI,6,5,5,12,109,32/3,18.16,9.08,12,0,0,2025
53,Zeeshan Ansari SRH,6,10,10,33.5,333,42/3,55.5,9.84,33.83,0,0,2025
54,Mohd Arshad Khan GT,6,9,9,21,217,7/1,36.16,10.33,21,0,0,2025
55,Romario Shepherd RCB,6,8,7,14,151,14/2,25.16,10.78,14,0,0,2025
56,Mohammad Shami SRH,6,9,9,30,337,28/2,56.16,11.23,30,0,0,2025
57,William O Rourke LSG,6,3,3,10.2,132,27/3,22,12.77,10.33,0,0,2025
58,Axar Patel DC,5,12,11,34,288,19/2,57.6,8.47,40.8,0,0,2025
59,Lockie Ferguson PBKS,5,4,4,11.2,104,37/2,20.8,9.17,13.6,0,0,2025
60,Kyle Jamieson PBKS,5,4,4,15,147,48/3,29.4,9.8,18,0,0,2025
61,Harsh Dubey SRH,5,3,3,10,98,34/3,19.6,9.8,12,0,0,2025
62,Mustafizur Rahman DC,4,3,3,11,87,33/3,21.75,7.9,16.5,0,0,2025
63,Glenn Maxwell PBKS,4,7,6,13,110,5/1,27.5,8.46,19.5,0,0,2025
64,Akash Singh LSG,4,3,3,11.1,99,30/2,24.75,8.86,16.75,0,0,2025
65,Aiden Markram LSG,4,13,5,11,102,30/2,25.5,9.27,16.5,0,0,2025
66,Lungisani Ngidi RCB,4,2,2,8,81,30/3,20.25,10.12,12,0,0,2025
67,Vyshak Vijaykumar PBKS,4,5,5,17,181,44/2,45.25,10.64,25.5,0,0,2025
68,Akash Madhwal RR,4,4,4,15,166,29/3,41.5,11.06,22.5,0,0,2025
69,Ishant Sharma GT,4,7,7,18.2,205,18/1,51.25,11.18,27.5,0,0,2025
70,Dushmantha Chameera DC,4,6,5,15,171,24/1,42.75,11.4,22.5,0,0,2025
71,Yudhvir Singh Charak RR,4,4,4,11,131,47/3,32.75,11.9,16.5,0,0,2025
72,Riyan Parag RR,3,14,9,20,170,12/1,56.66,8.5,40,0,0,2025
73,Prince Yadav LSG,3,6,6,22.5,225,29/1,75,9.85,45.66,0,0,2025
74,Akash Deep LSG,3,6,6,19,229,55/2,76.33,12.05,38,0,0,2025
75,Ayush Badoni LSG,2,14,2,1.4,13,4/2,6.5,7.8,5,0,0,2025
76,Liam Livingstone RCB,2,10,5,9,76,28/2,38,8.44,27,0,0,2025
77,Kamindu Mendis SRH,2,5,4,7,60,4/1,30,8.57,21,0,0,2025
