Pos,Player,Team,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100s,50s,4s,6s,Season
138,Ishan MalhotraDEC,RCB,7,1,1,1,7*,0,4,175,0,0,1,0,2011
139,Arun KarthikRCB,DC,7,3,2,0,6,3.5,8,87.5,0,0,1,0,2011
140,Ajit AgarkarDC,KKR,7,7,2,1,7*,7,6,116.66,0,0,1,0,2011
141,Mark BoucherKKR,RR,6,4,3,2,5,6,6,100,0,0,0,0,2011
142,Pinal ShahRR,CSK,5,2,1,0,5,5,5,100,0,0,1,0,2011
143,Scott StyrisCSK,KTK,5,2,1,1,5*,0,2,250,0,0,1,0,2011
144,Muttiah MuralitharanKTK,KKR,5,5,1,1,5*,0,8,62.5,0,0,0,0,2011
145,Brett LeeKKR,DC,5,12,4,1,2*,1.66,9,55.55,0,0,0,0,2011
146,Sridharan SriramDC,PBKS,4,1,1,0,4,4,7,57.14,0,0,0,0,2011
147,Shalabh SrivastavaPBKS,DEC,4,6,2,2,3*,0,3,133.33,0,0,0,0,2011
148,Ishant SharmaDEC,KKR,4,12,5,5,1*,0,5,80,0,0,0,0,2011
149,Lakshmipathy BalajiKKR,RCB,4,14,2,2,3*,0,2,200,0,0,0,0,2011
150,Ryan NinanRCB,DC,3,2,1,0,3,3,6,50,0,0,0,0,2011
151,Unmukt ChandDC,MI,2,2,2,0,2,1,12,16.66,0,0,0,0,2011
152,Ali MurtazaMI,MI,2,5,1,1,2*,0,5,40,0,0,0,0,2011
153,Dhawal KulkarniMI,PWI,2,6,2,1,2,2,4,50,0,0,0,0,2011
154,Shrikant WaghPWI,CSK,2,7,2,0,2,1,3,66.66,0,0,0,0,2011
155,Suraj RandivCSK,KTK,2,8,1,0,2,2,4,50,0,0,0,0,2011
156,RP SinghKTK,CSK,2,14,5,2,1*,0.66,4,50,0,0,0,0,2011
157,Ravichandran AshwinCSK,RR,2,16,2,0,2,1,6,33.33,0,0,0,0,2011
158,Ankeet ChavanRR,DC,1,2,1,0,1,1,3,33.33,0,0,0,0,2011
159,Umesh YadavDC,RR,1,7,2,1,1*,1,5,20,0,0,0,0,2011
160,Amit SinghRR,KTK,1,9,2,0,1,0.5,4,25,0,0,0,0,2011
161,Shanthakumaran SreesanthKTK,,1,9,3,1,1,0.5,9,11.11,0,0,0,0,2011
1,Chris GayleRCB,KKR,733,15,14,2,128*,61.08,456,160.74,1,7,46,59,2012
2,Gautam GambhirKKR,DEC,590,17,17,2,93,39.33,411,143.55,0,6,64,17,2012
3,Shikhar DhawanDEC,RR,569,15,15,1,84,40.64,439,129.61,0,5,58,18,2012
4,Ajinkya RahaneRR,DC,560,16,16,2,103*,40,433,129.33,1,3,73,10,2012
5,Virender SehwagDC,DEC,495,16,16,1,87*,33,307,161.23,0,5,57,19,2012
6,Cameron WhiteDEC,RR,479,13,13,2,78,43.54,320,149.68,0,5,41,20,2012
7,Rahul DravidRR,CSK,462,16,16,0,58,28.87,412,112.13,0,2,63,4,2012
8,Suresh RainaCSK,MI,441,19,18,1,73,25.94,325,135.69,0,1,36,19,2012
9,Rohit SharmaMI,PBKS,433,17,16,2,109*,30.92,342,126.6,1,3,39,18,2012
10,Mandeep SinghPBKS,KKR,432,16,16,0,75,27,342,126.31,0,2,53,7,2012
11,Jacques KallisKKR,PWI,409,17,17,1,79,25.56,384,106.51,0,2,34,10,2012
12,Robin UthappaPWI,CSK,405,16,16,1,69,27,343,118.07,0,2,38,10,2012
13,Faf du PlessisCSK,PBKS,398,13,12,0,73,33.16,304,130.92,0,3,29,17,2012
14,David HusseyPBKS,CSK,396,16,15,3,68*,33,305,129.83,0,2,28,17,2012
15,Dwayne BravoCSK,RCB,371,19,16,8,48,46.37,264,140.53,0,0,20,20,2012
16,Virat KohliRCB,PWI,364,16,15,2,73*,28,326,111.65,0,2,33,9,2012
17,Steve SmithPWI,CSK,362,15,14,5,47*,40.22,267,135.58,0,0,24,14,2012
18,MS DhoniCSK,RR,358,19,17,5,51*,29.83,278,128.77,0,1,26,9,2012
19,Owais ShahRR,PBKS,340,13,13,4,76,37.77,256,132.81,0,3,24,16,2012
20,Shaun MarshPBKS,CSK,336,13,13,2,68*,30.54,280,120,0,2,39,7,2012
21,Murali VijayCSK,DC,336,14,14,1,113,25.84,267,125.84,1,0,39,10,2012
22,Mahela JayawardenaDC,MI,335,16,15,3,56*,27.91,298,112.41,0,3,39,3,2012
23,Ambati RayuduMI,MI,333,17,15,6,81*,37,252,132.14,0,2,21,14,2012
24,Sachin TendulkarMI,RCB,324,13,13,2,74,29.45,283,114.48,0,2,39,4,2012
25,AB de VilliersRCB,DC,319,16,13,5,64*,39.87,198,161.11,0,3,26,15,2012
26,Kevin PietersenDC,KKR,305,8,8,3,103*,61,207,147.34,1,1,22,20,2012
27,Brendon McCullumKKR,RCB,289,12,12,0,56,24.08,283,102.12,0,1,37,3,2012
28,Tillakaratne DilshanRCB,PWI,285,10,9,1,76*,35.62,261,109.19,0,3,33,5,2012
29,Sourav GangulyPWI,CSK,268,15,15,0,45,17.86,271,98.89,0,0,30,4,2012
30,Michael HusseyCSK,KKR,261,8,8,0,56,32.62,236,110.59,0,2,28,8,2012
31,Manoj TiwaryKKR,DC,260,16,15,5,59,26,246,105.69,0,1,21,3,2012
32,David WarnerDC,PWI,256,8,8,1,109*,36.57,156,164.1,1,1,28,14,2012
33,Jesse RyderPWI,RR,256,11,11,1,86,25.6,212,120.75,0,2,23,8,2012
34,Shane WatsonRR,DC,255,7,7,1,90*,42.5,168,151.78,0,2,26,14,2012
35,Naman OjhaDC,RR,255,18,16,5,64*,23.18,224,113.83,0,1,21,13,2012
36,Brad HodgeRR,DEC,245,12,12,4,48*,30.62,175,140,0,0,18,9,2012
37,JP DuminyDEC,MI,244,9,9,6,74,81.33,190,128.42,0,2,13,11,2012
38,Dinesh KarthikMI,RCB,238,17,14,1,44,18.3,213,111.73,0,0,30,2,2012
39,Mayank AgarwalRCB,MI,225,16,12,1,64*,20.45,158,142.4,0,1,19,15,2012
40,James FranklinMI,MI,220,12,11,2,79,24.44,223,98.65,0,1,15,6,2012
41,Kieron PollardMI,RR,220,14,11,2,64,24.44,159,138.36,0,2,15,14,2012
42,Ashok MenariaRR,KKR,220,15,12,1,40,20,202,108.91,0,0,14,8,2012
43,Manvinder BislaKKR,DEC,213,7,7,0,89,30.42,160,133.12,0,1,16,10,2012
44,Kumar SangakkaraDEC,DC,200,12,12,1,82,18.18,184,108.69,0,1,21,4,2012
45,Ross TaylorDC,CSK,197,12,12,2,55,19.7,171,115.2,0,1,12,7,2012
46,Subramaniam BadrinathCSK,DEC,196,15,9,2,57,28,181,108.28,0,1,23,2,2012
47,Parthiv PatelDEC,KKR,194,14,13,2,45,17.63,165,117.57,0,0,19,4,2012
48,Yusuf PathanKKR,RCB,194,17,16,6,40*,19.4,169,114.79,0,0,10,7,2012
49,Saurabh TiwaryRCB,CSK,191,15,11,3,36*,23.87,170,112.35,0,0,9,8,2012
50,Ravindra JadejaCSK,PBKS,191,19,14,2,48,15.91,151,126.49,0,0,13,9,2012
51,Azhar MahmoodPBKS,DC,186,11,10,2,36,23.25,142,130.98,0,0,16,8,2012
52,Irfan PathanDC,PBKS,176,17,12,5,42*,25.14,126,139.68,0,0,14,6,2012
53,Adam GilchristPBKS,MI,172,7,7,2,64*,34.4,143,120.27,0,1,21,4,2012
54,Dwayne SmithMI,DC,157,7,6,2,87*,39.25,98,160.2,0,1,18,7,2012
55,Yogesh NagarDC,DEC,152,13,8,3,43*,30.4,133,114.28,0,0,13,3,2012
56,Dan ChristianDEC,PWI,145,7,7,2,39,29,118,122.88,0,0,8,6,2012
57,Manish PandeyPWI,PBKS,143,10,9,2,80*,20.42,112,127.67,0,1,12,6,2012
58,Nitin SainiPBKS,DC,140,10,10,0,50,14,141,99.29,0,1,16,0,2012
59,Venugopal RaoDC,PWI,132,10,7,1,36,22,126,104.76,0,0,8,5,2012
60,Angelo MathewsPWI,KKR,127,9,8,1,35,18.14,108,117.59,0,0,5,4,2012
61,Debabrata DasKKR,PWI,126,15,10,7,35*,42,93,135.48,0,0,9,6,2012
62,Marlon SamuelsPWI,PWI,124,8,8,1,46,17.71,123,100.81,0,0,7,5,2012
63,Mithun ManhasPWI,DEC,120,10,7,3,42*,30,96,125,0,0,10,4,2012
64,Daniel HarrisDEC,MI,111,4,4,0,47,27.75,101,109.9,0,0,11,5,2012
65,Harbhajan SinghMI,CSK,108,17,11,2,33,12,80,135,0,0,14,3,2012
66,Albie MorkelCSK,PBKS,107,16,12,5,28,15.28,68,157.35,0,0,5,6,2012
67,Piyush ChawlaPBKS,PBKS,106,16,12,4,21*,13.25,88,120.45,0,0,9,4,2012
68,David MillerPBKS,PWI,98,6,6,3,34*,32.66,75,130.66,0,0,6,4,2012
69,Michael ClarkePWI,KKR,98,6,6,0,41,16.33,93,105.37,0,0,12,0,2012
70,Shakib Al HasanKKR,RR,91,8,7,1,42,15.16,74,122.97,0,0,6,3,2012
71,Stuart BinnyRR,PWI,90,8,6,2,30,22.5,67,134.32,0,0,9,3,2012
72,Anustup MajumdarPWI,PBKS,87,4,4,0,31,21.75,76,114.47,0,0,7,2,2012
73,Gurkeerat Mann SinghPBKS,MI,86,5,4,1,29*,28.66,52,165.38,0,0,12,2,2012
74,Richard LeviMI,MI,83,6,6,0,50,13.83,73,113.69,0,1,10,4,2012
75,Herschelle GibbsMI,KKR,81,3,3,1,66*,40.5,88,92.04,0,1,8,2,2012
76,Laxmi Ratan ShuklaKKR,DEC,75,11,8,2,26,12.5,57,131.57,0,0,4,5,2012
77,Akshath ReddyDEC,PBKS,73,5,3,0,42,24.33,59,123.72,0,0,6,2,2012
78,Bipul SharmaPBKS,RR,72,5,4,1,35*,24,47,153.19,0,0,6,3,2012
79,Shreevats GoswamiRR,RCB,69,11,6,1,24,13.8,67,102.98,0,0,4,1,2012
80,Vinay KumarRCB,PBKS,68,15,7,2,25,13.6,62,109.67,0,0,3,2,2012
81,Siddharth ChitnisPBKS,RR,66,6,4,1,38,22,62,106.45,0,0,7,1,2012
82,Johan BothaRR,DC,58,11,7,3,14*,14.5,54,107.4,0,0,4,1,2012
83,Aaron FinchDC,MI,55,2,2,0,30,27.5,51,107.84,0,0,8,0,2012
84,Lasith MalingaMI,PWI,55,14,6,0,17,9.16,53,103.77,0,0,4,3,2012
85,Callum FergusonPWI,DC,50,4,4,0,23,12.5,63,79.36,0,0,3,0,2012
86,Andre RussellDC,RCB,47,4,2,0,31,23.5,26,180.76,0,0,3,3,2012
87,Andrew McDonaldRCB,PBKS,47,4,3,1,30,23.5,35,134.28,0,0,6,2,2012
88,Abhishek NayarPBKS,KKR,45,4,4,1,24,15,49,91.83,0,0,2,1,2012
89,Brett LeeKKR,PWI,42,10,3,1,25,21,20,210,0,0,2,4,2012
90,Bhuvneshwar KumarPWI,RR,40,11,9,6,11*,13.33,40,100,0,0,4,0,2012
91,Kevon CooperRR,DEC,38,6,4,2,14,19,20,190,0,0,3,3,2012
92,Bharat ChipliDEC,DC,37,5,4,1,25*,12.33,35,105.71,0,0,3,2,2012
93,Unmukt ChandDC,DC,36,2,2,0,18,18,34,105.88,0,0,2,3,2012
94,Pawan NegiDC,DEC,36,8,4,2,14,18,29,124.13,0,0,4,1,2012
95,Ashish ReddyDEC,PBKS,35,9,6,2,10*,8.75,29,120.68,0,0,3,1,2012
96,Praveen KumarPBKS,KKR,35,16,7,4,10,11.66,30,116.66,0,0,2,1,2012
97,Rajat BhatiaKKR,MI,35,17,6,3,12,11.66,28,125,0,0,4,0,2012
98,Robin PetersonMI,RCB,32,5,5,2,16*,10.66,30,106.66,0,0,3,1,2012
99,Daniel VettoriRCB,PBKS,31,9,6,2,20,7.75,26,119.23,0,0,3,1,2012
100,Paul ValthatyPBKS,PWI,30,6,6,0,13,5,51,58.82,0,0,4,0,2012
101,Murali KartikPWI,RR,26,11,4,4,14*,0,21,123.8,0,0,1,1,2012
102,Dishant YagnikRR,DEC,25,5,3,2,10*,25,13,192.3,0,0,5,0,2012
103,Abhishek JhunjhunwalaDEC,KKR,24,5,3,1,19,12,26,92.3,0,0,1,1,2012
104,Ryan ten DoeschateKKR,PWI,21,3,3,1,11,10.5,21,100,0,0,1,1,2012
105,Alfonso ThomasPWI,CSK,19,4,2,0,12,9.5,15,126.66,0,0,1,1,2012
106,Srikkanth AnirudhaCSK,PWI,19,4,2,2,18*,0,7,271.42,0,0,1,2,2012
107,Wayne ParnellPWI,DEC,19,6,5,1,11,4.75,27,70.37,0,0,2,0,2012
108,Dale SteynDEC,PBKS,19,12,6,1,7,3.8,21,90.47,0,0,0,1,2012
109,Ryan HarrisPBKS,DEC,18,5,2,1,15*,18,11,163.63,0,0,1,1,2012
110,Ankit SharmaDEC,CSK,18,9,4,1,15,6,13,138.46,0,0,0,2,2012
111,Ravichandran AshwinCSK,RCB,18,19,5,2,8,6,15,120,0,0,2,0,2012
112,Cheteshwar PujaraRCB,DEC,17,3,3,0,11,5.66,22,77.27,0,0,1,1,2012
113,Amit MishraDEC,MI,16,14,5,2,8*,5.33,20,80,0,0,1,0,2012
114,Tirumalasetti SumanMI,DEC,15,2,2,0,10,7.5,19,78.94,0,0,1,1,2012
115,Ishank JaggiDEC,PBKS,15,3,3,1,10*,7.5,21,71.42,0,0,0,0,2012
116,Paras DograPBKS,PBKS,15,3,3,1,6,7.5,24,62.5,0,0,0,0,2012
117,Harmeet Singh BansalPBKS,RR,15,7,2,1,14,15,7,214.28,0,0,3,0,2012
118,Brad HoggRR,RCB,15,9,3,1,13,7.5,16,93.75,0,0,1,0,2012
119,Harshal PatelRCB,RCB,15,12,3,1,10,7.5,15,100,0,0,1,0,2012
120,Mohammad KaifRCB,RCB,14,1,1,0,14,14,16,87.5,0,0,1,0,2012
121,Sreenath AravindRCB,PBKS,14,1,1,1,14*,0,8,175,0,0,3,0,2012
122,James FaulknerPBKS,PBKS,14,2,2,1,11*,14,13,107.69,0,0,0,0,2012
123,Dimitri MascarenhasPBKS,DC,14,4,3,0,9,4.66,16,87.5,0,0,1,0,2012
124,Doug BracewellDC,RCB,12,1,1,1,12*,0,9,133.33,0,0,1,0,2012
125,Zaheer KhanRCB,PWI,12,16,5,3,11*,6,17,70.58,0,0,1,0,2012
126,Krishnakant UpadhyayPWI,RR,11,1,1,1,11*,0,8,137.5,0,0,0,1,2012
127,Ankeet ChavanRR,PWI,11,8,2,1,7*,11,8,137.5,0,0,2,0,2012
128,Ashish NehraPWI,MI,11,13,2,2,9*,0,12,91.66,0,0,1,0,2012
129,Dhawal KulkarniMI,KKR,10,2,1,1,10*,0,5,200,0,0,2,0,2012
130,Sunil NarineKKR,MI,9,15,2,1,9*,9,7,128.57,0,0,2,0,2012
131,Clint McKayMI,DEC,8,2,1,0,8,8,15,53.33,0,0,0,0,2012
132,Juan TheronDEC,CSK,7,2,1,1,7*,0,6,116.66,0,0,1,0,2012
133,Shadab JakatiCSK,DEC,7,15,2,2,6*,0,12,58.33,0,0,0,0,2012
134,Chris LynnDEC,PWI,6,1,1,0,6,6,9,66.66,0,0,1,0,2012
135,Harpreet SinghPWI,RCB,6,1,1,0,6,6,6,100,0,0,0,0,2012
136,Asad PathanRCB,DC,6,2,2,1,4,6,7,85.71,0,0,0,0,2012
137,Glenn MaxwellDC,CSK,6,2,2,1,3*,6,11,54.54,0,0,0,0,2012
138,Wriddhiman SahaCSK,PBKS,6,4,1,0,6,6,14,42.85,0,0,0,0,2012
139,Bhargav BhattPBKS,RCB,6,5,1,1,6*,0,2,300,0,0,0,1,2012
140,Muttiah MuralitharanRCB,MI,6,10,2,0,6,3,9,66.66,0,0,0,0,2012
141,RP SinghMI,CSK,6,11,5,3,3,3,12,50,0,0,0,0,2012
142,Nuwan KulasekaraCSK,MI,5,5,1,1,5*,0,3,166.66,0,0,1,0,2012
143,Pragyan OjhaMI,RR,5,9,3,1,4,2.5,14,35.71,0,0,0,0,2012
144,Siddharth TrivediRR,PWI,5,14,1,1,5*,0,6,83.33,0,0,0,0,2012
145,Mohnish MishraPWI,DEC,4,1,1,0,4,4,4,100,0,0,1,0,2012
146,Dwaraka Ravi TejaDEC,RCB,4,2,2,0,4,2,4,100,0,0,1,0,2012
147,Syed MohammadRCB,MI,4,2,1,1,4*,0,1,400,0,0,1,0,2012
148,Thisara PereraMI,DEC,4,2,2,1,4*,4,9,44.44,0,0,0,0,2012
149,Manpreet GonyDEC,PBKS,4,6,1,0,4,4,8,50,0,0,0,0,2012
150,Parvinder AwanaPBKS,PWI,4,12,2,2,4*,0,5,80,0,0,0,0,2012
151,Ali MurtazaPWI,CSK,3,1,1,1,3*,0,5,60,0,0,0,0,2012
152,Doug BollingerCSK,DC,3,6,1,0,3,3,5,60,0,0,0,0,2012
153,Morne MorkelDC,PWI,3,16,4,2,2*,1.5,5,60,0,0,0,0,2012
154,Ashok DindaPWI,PWI,2,7,1,0,2,2,5,40,0,0,0,0,2012
155,Rahul SharmaPWI,DC,2,11,5,1,2,0.5,11,18.18,0,0,0,0,2012
156,Umesh YadavDC,DC,2,17,3,1,1*,1,7,28.57,0,0,0,0,2012
157,Varun AaronDC,,1,8,2,0,1,0.5,3,33.33,0,0,0,0,2012
1,Michael HusseyCSK,RCB,733,17,17,3,95,52.35,566,129.5,0,6,81,17,2013
2,Chris GayleRCB,RCB,708,16,16,4,175*,59,453,156.29,1,4,57,51,2013
3,Virat KohliRCB,CSK,634,16,16,2,99,45.28,457,138.73,0,6,64,22,2013
4,Suresh RainaCSK,RR,548,18,17,4,100*,42.15,365,150.13,1,4,50,18,2013
5,Shane WatsonRR,MI,543,16,16,2,101,38.78,380,142.89,1,2,59,22,2013
6,Rohit SharmaMI,MI,538,19,19,5,79*,38.42,409,131.54,0,4,35,28,2013
7,Dinesh KarthikMI,RR,510,19,19,1,86,28.33,411,124.08,0,2,54,14,2013
8,Ajinkya RahaneRR,RR,488,18,18,4,68*,34.85,458,106.55,0,4,42,11,2013
9,Rahul DravidRR,CSK,471,18,17,1,65,29.43,425,110.82,0,4,64,5,2013
10,MS DhoniCSK,PWI,461,18,16,5,67*,41.9,283,162.89,0,4,32,25,2013
11,Aaron FinchPWI,PWI,456,14,14,0,67,32.57,336,135.71,0,4,54,16,2013
12,Robin UthappaPWI,MI,434,16,16,0,75,27.12,371,116.98,0,2,42,12,2013
13,Kieron PollardMI,PBKS,420,18,18,8,66*,42,281,149.46,0,3,27,29,2013
14,David MillerPBKS,MI,418,12,12,5,101*,59.71,254,164.56,1,3,28,24,2013
15,Dwayne SmithMI,DC,418,13,13,0,68,32.15,341,122.58,0,4,40,19,2013
16,David WarnerDC,KKR,410,16,16,3,77,31.53,323,126.93,0,4,41,14,2013
17,Gautam GambhirKKR,RCB,406,16,16,0,60,25.37,343,118.36,0,4,51,5,2013
18,AB de VilliersRCB,KKR,360,14,14,4,64,36,219,164.38,0,2,34,15,2013
19,Yusuf PathanKKR,DC,332,16,16,5,72,30.18,240,138.33,0,1,30,14,2013
20,Mahela JayawardenaDC,CSK,331,15,15,0,66,22.06,313,105.75,0,2,39,6,2013
21,Murali VijayCSK,SRH,312,15,15,1,55,22.28,286,109.09,0,2,27,8,2013
22,Shikhar DhawanSRH,KKR,311,10,10,2,73*,38.87,253,122.92,0,3,37,5,2013
23,Jacques KallisKKR,KKR,311,16,16,1,41,20.73,322,96.58,0,0,35,3,2013
24,Eoin MorganKKR,PBKS,307,14,13,2,51,27.9,240,127.91,0,1,28,13,2013
25,Shaun MarshPBKS,DC,300,8,8,0,77,37.5,249,120.48,0,3,39,4,2013
26,Virender SehwagDC,PBKS,295,13,13,1,95*,24.58,233,126.6,0,1,41,6,2013
27,Adam GilchristPBKS,SRH,294,13,13,1,85*,24.5,229,128.38,0,1,41,6,2013
28,Parthiv PatelSRH,RR,294,13,13,0,61,22.61,255,115.29,0,1,37,4,2013
29,Brad HodgeRR,RR,293,17,14,7,54*,41.85,218,134.4,0,1,27,9,2013
30,Stuart BinnyRR,MI,293,17,16,7,41*,32.55,199,147.23,0,0,25,12,2013
31,Sachin TendulkarMI,MI,287,14,14,1,54,22.07,231,124.24,0,1,38,5,2013
32,Ambati RayuduMI,PBKS,265,19,17,3,37,18.92,231,114.71,0,0,22,4,2013
33,Mandeep SinghPBKS,KKR,260,16,14,1,77*,20,223,116.59,0,1,36,0,2013
34,Manvinder BislaKKR,SRH,255,14,14,1,92,19.61,236,108.05,0,2,36,6,2013
35,Hanuma VihariSRH,PWI,241,17,17,3,46,17.21,278,86.69,0,0,17,1,2013
36,Yuvraj SinghPWI,PBKS,238,13,13,1,34,19.83,190,125.26,0,0,14,15,2013
37,David HusseyPBKS,SRH,235,12,11,1,41,23.5,209,112.44,0,0,20,6,2013
38,Thisara PereraSRH,SRH,233,16,14,4,40,23.3,163,142.94,0,0,12,14,2013
39,Cameron WhiteSRH,RR,209,13,13,1,52,17.41,191,109.42,0,1,18,7,2013
40,Sanju SamsonRR,CSK,206,11,10,2,63,25.75,178,115.73,0,1,19,5,2013
41,Ravindra JadejaCSK,PBKS,201,18,14,6,38*,25.12,135,148.88,0,0,17,6,2013
42,Azhar MahmoodPBKS,DC,196,11,10,0,80,19.6,154,127.27,0,2,22,5,2013
43,Ben RohrerDC,SRH,193,8,8,2,64*,32.16,140,137.85,0,1,21,5,2013
44,Darren SammySRH,PWI,174,10,9,3,60,29,132,131.81,0,1,11,10,2013
45,Angelo MathewsPWI,RCB,172,11,10,3,40,24.57,139,123.74,0,0,5,10,2013
46,Moises HenriquesRCB,PBKS,165,10,9,5,44,41.25,125,132,0,0,20,3,2013
47,Manan VohraPBKS,PWI,161,12,10,2,43*,20.12,117,137.6,0,0,22,2,2013
48,Steve SmithPWI,DC,159,7,7,3,41,39.75,132,120.45,0,0,15,4,2013
49,Unmukt ChandDC,DC,158,9,9,0,41,17.55,158,100,0,0,17,4,2013
50,Kedar JadhavDC,KKR,152,12,10,3,31,21.71,124,122.58,0,0,8,5,2013
51,Manoj TiwaryKKR,DC,146,10,9,1,33,18.25,140,104.28,0,0,12,1,2013
52,Irfan PathanDC,PWI,142,15,13,5,24,17.75,152,93.42,0,0,9,3,2013
53,Mitchell MarshPWI,PWI,140,9,8,1,38,20,106,132.07,0,0,6,10,2013
54,Manish PandeyPWI,DC,136,7,7,1,66,22.66,137,99.27,0,1,11,3,2013
55,Manpreet JunejaDC,SRH,125,7,7,0,49,17.85,128,97.65,0,0,11,1,2013
56,Ashish ReddySRH,RR,125,12,10,4,36*,20.83,89,140.44,0,0,8,5,2013
57,Dishant YagnikRR,CSK,125,12,9,1,34,15.62,96,130.2,0,0,17,2,2013
58,Subramaniam BadrinathCSK,MI,124,18,8,1,34,17.71,121,102.47,0,0,11,0,2013
59,Aditya TareMI,SRH,123,5,5,0,59,24.6,84,146.42,0,1,14,5,2013
60,Biplap SamantraySRH,CSK,123,8,7,2,55,24.6,111,110.81,0,1,13,2,2013
61,Dwayne BravoCSK,SRH,121,18,12,4,23*,15.12,106,114.15,0,0,11,3,2013
62,Kumar SangakkaraSRH,MI,120,9,9,0,28,13.33,136,88.23,0,0,13,0,2013
63,Harbhajan SinghMI,PBKS,116,19,14,8,25*,19.33,79,146.83,0,0,12,5,2013
64,Rajagopal SathishPBKS,RCB,109,9,8,3,27*,21.8,77,141.55,0,0,9,5,2013
65,Saurabh TiwaryRCB,PBKS,109,9,6,2,52,27.25,106,102.83,0,1,4,4,2013
66,Gurkeerat Mann SinghPBKS,PWI,108,11,9,1,31,13.5,95,113.68,0,0,10,3,2013
67,Luke WrightPWI,KKR,106,6,6,1,44,21.2,60,176.66,0,0,16,3,2013
68,Rajat BhatiaKKR,RCB,99,15,10,4,26*,16.5,80,123.75,0,0,8,3,2013
69,Cheteshwar PujaraRCB,SRH,92,4,4,0,51,23,99,92.92,0,1,14,0,2013
70,Akshath ReddySRH,SRH,91,7,7,0,27,13,101,90.09,0,0,9,0,2013
71,Amit MishraSRH,KKR,89,17,8,2,30,14.83,96,92.7,0,0,9,0,2013
72,Ryan ten DoeschateKKR,SRH,85,4,4,1,42,28.33,63,134.92,0,0,9,2,2013
73,Karn SharmaSRH,RCB,85,13,7,3,39*,21.25,86,98.83,0,0,6,2,2013
74,Tillakaratne DilshanRCB,KKR,76,5,5,0,33,15.2,93,81.72,0,0,12,0,2013
75,Debabrata DasKKR,CSK,75,10,6,1,23,15,74,101.35,0,0,5,5,2013
76,Wriddhiman SahaCSK,RCB,70,3,3,0,39,23.33,56,125,0,0,6,4,2013
77,Vinay KumarRCB,RCB,70,16,5,4,26*,70,44,159.09,0,0,6,3,2013
78,Mayank AgarwalRCB,PWI,67,5,5,0,29,13.4,62,108.06,0,0,6,3,2013
79,Abhishek NayarPWI,PBKS,66,11,9,3,25*,11,73,90.41,0,0,5,0,2013
80,Piyush ChawlaPBKS,PWI,64,16,11,5,23,10.66,57,112.28,0,0,5,3,2013
81,Ross TaylorPWI,PBKS,63,5,5,0,19,12.6,76,82.89,0,0,2,1,2013
82,Luke PomersbachPBKS,DC,58,3,3,1,33*,29,59,98.3,0,0,5,1,2013
83,Morne MorkelDC,RR,57,10,6,1,23*,11.4,29,196.55,0,0,6,3,2013
84,James FaulknerRR,SRH,57,16,9,4,19*,11.4,57,100,0,0,5,2,2013
85,Dale SteynSRH,MI,53,17,8,6,18*,26.5,36,147.22,0,0,5,2,2013
86,Ricky PontingMI,PWI,52,6,5,0,28,10.4,75,69.33,0,0,3,1,2013
87,Tirumalasetti SumanPWI,PWI,52,7,5,0,23,10.4,58,89.65,0,0,8,0,2013
88,Bhuvneshwar KumarPWI,PBKS,52,16,9,2,24*,7.42,71,73.23,0,0,3,1,2013
89,Praveen KumarPBKS,CSK,47,15,7,1,24,7.83,39,120.51,0,0,3,3,2013
90,Albie MorkelCSK,PBKS,46,8,3,0,23,15.33,37,124.32,0,0,2,3,2013
91,Manpreet GonyPBKS,DC,45,8,5,1,42,11.25,25,180,0,0,4,3,2013
92,Chidhambaram GautamDC,DC,44,3,3,1,30,22,34,129.41,0,0,4,1,2013
93,Johan BothaDC,RCB,43,6,6,0,23,7.16,52,82.69,0,0,5,1,2013
94,Arun KarthikRCB,RR,41,12,5,2,19*,13.66,38,107.89,0,0,3,1,2013
95,Kevon CooperRR,MI,39,14,5,1,26,9.75,22,177.27,0,0,4,2,2013
96,Mitchell JohnsonMI,RCB,39,17,6,2,11,9.75,36,108.33,0,0,2,2,2013
97,Ravi RampaulRCB,DC,38,10,6,2,23*,9.5,37,102.7,0,0,3,1,2013
98,Umesh YadavDC,MI,38,16,8,7,12*,38,38,100,0,0,3,1,2013
99,Glenn MaxwellMI,CSK,36,3,3,1,23,18,27,133.33,0,0,1,4,2013
100,Ravichandran AshwinCSK,PWI,35,18,5,1,11*,8.75,49,71.42,0,0,4,0,2013
101,Kane RichardsonPWI,RR,34,3,2,0,26,17,36,94.44,0,0,2,1,2013
102,Owais ShahRR,KKR,25,2,2,0,24,12.5,23,108.69,0,0,2,0,2013
103,Sumit NarwalKKR,DC,23,2,1,0,23,23,15,153.33,0,0,4,0,2013
104,Jeevan MendisDC,DC,23,3,3,0,12,7.66,27,85.18,0,0,0,0,2013
105,Roelof van der MerweDC,KKR,22,3,2,0,14,11,25,88,0,0,2,0,2013
106,Brett LeeKKR,MI,21,3,2,1,16*,21,12,175,0,0,1,2,2013
107,Rishi DhawanMI,KKR,21,6,4,1,14,7,21,100,0,0,3,0,2013
108,Sunil NarineKKR,RCB,21,16,6,3,13,7,19,110.52,0,0,0,2,2013
109,KL RahulRCB,RCB,20,5,2,0,12,10,16,125,0,0,4,0,2013
110,Abhinav MukundRCB,DC,19,1,1,0,19,19,21,90.47,0,0,1,0,2013
