Pos,Player,Team,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100s,50s,4s,6s,Season
93,Ramesh PowarPBKS,DEC,28,5,1,1,28*,0,21,133.33,0,0,4,1,2008
94,RP SinghDEC,MI,27,14,9,5,10,6.75,24,112.5,0,0,2,1,2008
95,Saurabh TiwaryMI,PBKS,26,3,2,0,17,13,20,130,0,0,3,1,2008
96,Wilkin MotaPBKS,RCB,26,4,2,1,25,26,27,96.29,0,0,2,0,2008
97,Shivnarine ChanderpaulRCB,RCB,25,3,3,0,16,8.33,31,80.64,0,0,4,0,2008
98,Vinay KumarRCB,MI,25,8,4,1,23,8.33,22,113.63,0,0,2,1,2008
99,Musavir KhoteMI,RCB,24,4,3,1,9,12,22,109.09,0,0,2,1,2008
100,Jagadeesh ArunkumarRCB,DEC,23,3,3,0,22,7.66,23,100,0,0,5,0,2008
101,Chaminda VaasDEC,RCB,21,5,4,1,12*,7,18,116.66,0,0,0,1,2008
102,Bharat ChipliRCB,KKR,20,3,3,0,10,6.66,28,71.42,0,0,3,0,2008
103,Mohammad HafeezKKR,RR,20,8,3,1,13,10,22,90.9,0,0,2,1,2008
104,Darren LehmannRR,MI,18,2,2,0,17,9,18,100,0,0,3,0,2008
105,Siddharth ChitnisMI,CSK,18,3,2,0,15,9,10,180,0,0,1,1,2008
106,Jacob OramCSK,PBKS,18,4,3,2,13,18,12,150,0,0,1,1,2008
107,Brett LeePBKS,CSK,17,4,3,2,16*,17,13,130.76,0,0,2,1,2008
108,Chamara KapugederaCSK,CSK,16,5,3,0,8,5.33,23,69.56,0,0,0,0,2008
109,Joginder SharmaCSK,DC,16,8,3,1,16,8,11,145.45,0,0,1,1,2008
110,Yo MaheshDC,RCB,15,11,5,3,6*,7.5,27,55.55,0,0,0,0,2008
111,Devraj PatilRCB,RCB,13,2,2,0,9,6.5,13,100,0,0,1,0,2008
112,Anil KumbleRCB,KKR,13,10,5,3,8,6.5,17,76.47,0,0,1,0,2008
113,Brad HodgeKKR,DEC,12,3,3,0,10,4,17,70.58,0,0,2,0,2008
114,Nuwan ZoysaDEC,CSK,11,3,2,1,10*,11,9,122.22,0,0,1,0,2008
115,Makhaya NtiniCSK,KKR,11,9,2,1,11,11,18,61.11,0,0,2,0,2008
116,Ishant SharmaKKR,RR,11,13,6,5,4*,11,11,100,0,0,1,0,2008
117,Taruwar KohliRR,RCB,10,2,2,0,7,5,15,66.66,0,0,0,1,2008
118,Ashley NoffkeRCB,RR,9,1,1,0,9,9,10,90,0,0,1,0,2008
119,Dimitri MascarenhasRR,PBKS,9,1,1,0,9,9,8,112.5,0,0,0,1,2008
120,Tanmay SrivastavaPBKS,MI,8,5,2,1,7,8,10,80,0,0,0,0,2008
121,Rohan RajeMI,RCB,8,6,3,3,6*,0,9,88.88,0,0,1,0,2008
122,Sunil JoshiRCB,RR,6,4,2,0,3,3,14,42.85,0,0,0,0,2008
123,Pankaj SinghRR,RR,5,5,2,2,4*,0,8,62.5,0,0,0,0,2008
124,Siddharth TrivediRR,MI,5,15,3,2,3*,5,12,41.66,0,0,0,0,2008
125,Ajinkya RahaneMI,PBKS,4,2,2,0,4,2,17,23.52,0,0,1,0,2008
126,Sunny SohalPBKS,PBKS,4,2,2,0,4,2,8,50,0,0,0,0,2008
127,Vikram SinghPBKS,DC,4,13,2,0,4,2,3,133.33,0,0,1,0,2008
128,Glenn McGrathDC,RR,4,14,3,2,4*,4,5,80,0,0,1,0,2008
129,Younis KhanRR,DEC,3,1,1,0,3,3,7,42.85,0,0,0,0,2008
130,Doddapaneni KalyankrishnaDEC,MI,3,3,1,0,3,3,8,37.5,0,0,0,0,2008
131,Manish PandeyMI,DC,3,3,2,0,3,1.5,9,33.33,0,0,0,0,2008
132,Mohammad AsifDC,MI,3,8,2,0,3,1.5,6,50,0,0,0,0,2008
133,Ashish NehraMI,DEC,3,14,4,3,2*,3,13,23.07,0,0,0,0,2008
134,Halhadar DasDEC,MI,2,1,1,0,2,2,5,40,0,0,0,0,2008
135,Vikrant YeligatiMI,KKR,2,2,1,0,2,2,2,100,0,0,0,0,2008
136,Shoaib AkhtarKKR,MI,2,3,1,0,2,2,7,28.57,0,0,0,0,2008
137,Dilhara FernandoMI,DC,2,5,1,1,2*,0,1,200,0,0,0,0,2008
138,Pradeep SangwanDC,RCB,2,7,2,0,2,1,5,40,0,0,0,0,2008
139,Dale SteynRCB,MI,2,10,2,1,1*,2,5,40,0,0,0,0,2008
140,Dhawal KulkarniMI,KKR,2,10,1,1,2*,0,16,12.5,0,0,0,0,2008
141,Ashok DindaKKR,DEC,2,13,3,2,1*,2,4,50,0,0,0,0,2008
142,Pragyan OjhaDEC,KKR,2,13,4,2,1*,1,4,50,0,0,0,0,2008
143,Iqbal AbdullaKKR,CSK,1,1,1,1,1*,0,2,50,0,0,0,0,2008
144,Srikkanth AnirudhaCSK,DEC,1,1,1,0,1,1,7,14.28,0,0,0,0,2008
145,PM Sarvesh KumarDEC,DEC,1,2,1,1,1*,0,2,50,0,0,0,0,2008
146,Paidikalva VijaykumarDEC,RCB,1,9,2,2,1*,0,1,100,0,0,0,0,2008
147,Abdur RazzakRCB,CSK,0,1,1,1,0*,0,2,0,0,0,0,0,2008
148,Abhinav MukundCSK,CSK,0,2,1,0,0*,0,1,0,0,0,0,0,2008
149,Lakshmipathy BalajiCSK,RR,0,9,1,0,0*,0,4,0,0,0,0,0,2008
150,Munaf PatelRR,,0,15,2,2,0*,0,1,0,0,0,0,0,2008
1,Matthew HaydenCSK,DEC,572,12,12,1,89,52,395,144.81,0,5,60,22,2009
2,Adam GilchristDEC,CSK,495,16,16,0,85,30.93,325,152.3,0,3,54,29,2009
3,Suresh RainaCSK,MI,434,14,14,0,98,31,308,140.9,0,2,37,21,2009
4,JP DuminyMI,DEC,372,13,12,3,62,41.33,325,114.46,0,5,26,11,2009
5,Herschelle GibbsDEC,KKR,371,14,14,3,69*,33.72,331,112.08,0,4,32,12,2009
6,Brad HodgeKKR,MI,365,12,12,3,73,40.55,310,117.74,0,3,34,9,2009
7,Sachin TendulkarMI,DEC,364,13,13,2,68,33.09,303,120.13,0,2,39,10,2009
8,Rohit SharmaDEC,RCB,362,16,16,3,52,27.84,315,114.92,0,1,22,18,2009
9,Jacques KallisRCB,PBKS,361,15,15,2,69*,27.76,332,108.73,0,3,37,8,2009
10,Yuvraj SinghPBKS,PBKS,340,14,14,2,58*,28.33,294,115.64,0,2,25,16,2009
11,Kumar SangakkaraPBKS,CSK,332,14,13,2,60,30.18,324,102.46,0,2,29,5,2009
12,MS DhoniCSK,RR,332,14,13,5,58*,41.5,261,127.2,0,2,22,9,2009
13,Ravindra JadejaRR,KKR,295,13,13,2,42,26.81,266,110.9,0,0,21,6,2009
14,Brendon McCullumKKR,RCB,285,13,13,1,84*,23.75,239,119.24,0,2,27,12,2009
15,Ross TaylorRCB,RCB,280,11,11,2,81*,31.11,208,134.61,0,1,20,15,2009
16,Rahul DravidRCB,DEC,271,13,12,0,66,22.58,234,115.81,0,1,28,3,2009
17,Andrew SymondsDEC,RCB,249,8,8,1,60*,35.57,166,150,0,1,15,11,2009
18,Virat KohliRCB,RR,246,16,13,2,50,22.36,219,112.32,0,1,22,8,2009
19,Yusuf PathanRR,DEC,243,13,13,1,62*,20.25,183,132.78,0,1,24,12,2009
20,Tirumalasetti SumanDEC,MI,237,12,12,2,41*,23.7,190,124.73,0,0,18,8,2009
21,Sanath JayasuriyaMI,PBKS,221,12,12,0,52,18.41,192,115.1,0,2,23,7,2009
22,Mahela JayawardenaPBKS,MI,219,10,10,4,52*,36.5,165,132.72,0,1,17,7,2009
23,Dwayne BravoMI,DEC,218,11,10,2,70*,27.25,203,107.38,0,2,15,8,2009
24,Dwayne SmithDEC,RR,215,8,8,0,49,26.87,132,162.87,0,0,12,15,2009
25,Graeme SmithRR,PBKS,212,12,12,1,77,19.27,216,98.14,0,1,27,1,2009
26,Irfan PathanPBKS,MI,196,14,12,2,39,19.6,158,124.05,0,0,17,6,2009
27,Abhishek NayarMI,KKR,193,13,11,2,35,21.44,152,126.97,0,0,14,7,2009
28,Sourav GangulyKKR,CSK,189,13,11,0,46,17.18,207,91.3,0,0,13,6,2009
29,Subramaniam BadrinathCSK,RCB,177,14,11,2,59*,19.66,164,107.92,0,1,20,4,2009
30,Robin UthappaRCB,KKR,175,15,13,2,66*,15.9,170,102.94,0,1,18,3,2009
31,Chris GayleKKR,RCB,171,7,7,1,44*,28.5,143,119.58,0,0,15,10,2009
32,Manish PandeyRCB,RR,168,5,4,2,114*,84,118,142.37,1,0,17,4,2009
33,Naman OjhaRR,RCB,168,8,8,1,68,24,144,116.66,0,2,11,11,2009
34,Mark BoucherRCB,PBKS,150,12,9,4,48*,30,116,129.31,0,0,8,6,2009
35,Simon KatichPBKS,MI,145,9,9,0,50,16.11,117,123.93,0,1,15,6,2009
36,Ajinkya RahaneMI,CSK,144,8,7,1,62*,24,123,117.07,0,2,12,3,2009
37,Parthiv PatelCSK,PBKS,142,9,9,0,36,15.77,126,112.69,0,0,19,2,2009
38,Ravi BoparaPBKS,PBKS,138,5,5,0,84,27.6,119,115.96,0,1,8,7,2009
39,Karan GoelPBKS,DEC,124,9,9,1,38,15.5,133,93.23,0,0,9,4,2009
40,Venugopal RaoDEC,RCB,124,16,13,2,32,11.27,114,108.77,0,0,6,3,2009
41,Roelof van der MerweRCB,PBKS,122,10,8,0,35,15.25,98,124.48,0,0,8,8,2009
42,Sunny SohalPBKS,RR,115,8,8,0,43,14.37,93,123.65,0,0,9,8,2009
43,Shane WarneRR,RR,108,13,11,3,34*,13.5,116,93.1,0,0,6,4,2009
44,Rob QuineyRR,KKR,103,7,7,0,51,14.71,102,100.98,0,1,12,3,2009
45,David HusseyKKR,RR,98,4,4,0,43,24.5,59,166.1,0,0,7,6,2009
46,Swapnil AsnodkarRR,CSK,98,8,8,0,44,12.25,93,105.37,0,0,11,4,2009
47,Albie MorkelCSK,RCB,97,12,10,6,21*,24.25,70,138.57,0,0,8,4,2009
48,Kevin PietersenRCB,CSK,93,6,6,0,37,15.5,85,109.41,0,0,8,2,2009
49,Jacob OramCSK,MI,88,11,8,2,41*,14.66,93,94.62,0,0,5,4,2009
50,Harbhajan SinghMI,KKR,84,13,10,2,20,10.5,53,158.49,0,0,6,5,2009
51,Laxmi Ratan ShuklaKKR,RR,83,9,6,1,48*,16.6,85,97.64,0,0,5,3,2009
52,Lee CarseldineRR,RR,81,5,5,1,39,20.25,68,119.11,0,0,11,0,2009
53,Abhishek RautRR,KKR,78,9,7,3,36*,19.5,61,127.86,0,0,5,3,2009
54,Wriddhiman SahaKKR,DEC,72,8,7,4,25*,24,41,175.6,0,0,3,4,2009
55,Azhar BilakhiaDEC,KKR,67,6,6,2,22,16.75,81,82.71,0,0,5,0,2009
56,Ajit AgarkarKKR,DEC,66,11,7,5,39,33,57,115.78,0,0,3,3,2009
57,Dwaraka Ravi TejaDEC,RCB,65,9,6,3,27,21.66,70,92.85,0,0,7,0,2009
58,Praveen KumarRCB,CSK,65,13,8,3,14*,13,46,141.3,0,0,1,6,2009
59,Andrew FlintoffCSK,CSK,62,3,3,1,24,31,53,116.98,0,0,5,2,2009
60,Murali VijayCSK,RCB,60,4,4,0,31,15,67,89.55,0,0,4,2,2009
61,Jesse RyderRCB,RCB,56,5,5,0,32,11.2,49,114.28,0,0,9,0,2009
62,Shreevats GoswamiRCB,MI,53,2,2,0,43,26.5,60,88.33,0,0,6,0,2009
63,Pinal ShahMI,RR,53,9,5,2,29,17.66,51,103.92,0,0,4,2,2009
64,Johan BothaRR,KKR,47,3,3,1,37,23.5,40,117.5,0,0,5,0,2009
65,Yashpal SinghKKR,RCB,47,8,4,0,20,11.75,66,71.21,0,0,5,0,2009
66,Vinay KumarRCB,CSK,47,11,8,3,12,9.4,44,106.81,0,0,4,1,2009
67,George BaileyCSK,PBKS,45,3,2,0,30,22.5,39,115.38,0,0,7,0,2009
68,Luke PomersbachPBKS,MI,41,4,4,0,26,10.25,49,83.67,0,0,3,1,2009
69,Shikhar DhawanMI,RR,40,5,4,0,22,10,45,88.88,0,0,3,0,2009
70,Dimitri MascarenhasRR,KKR,39,5,4,0,27,9.75,39,100,0,0,4,0,2009
71,Moises HenriquesKKR,RR,38,4,3,1,30*,19,40,95,0,0,2,1,2009
72,Munaf PatelRR,PBKS,33,11,5,2,23*,11,26,126.92,0,0,5,0,2009
73,Piyush ChawlaPBKS,DEC,31,14,10,5,8*,6.2,36,86.11,0,0,3,0,2009
74,Chaminda VaasDEC,PBKS,30,2,2,1,20,30,21,142.85,0,0,1,1,2009
75,Wilkin MotaPBKS,PBKS,30,8,6,1,12,6,48,62.5,0,0,0,0,2009
76,Brett LeePBKS,DC,28,5,4,2,14*,14,34,82.35,0,0,2,1,2009
77,Amit MishraDC,PBKS,26,11,5,2,13*,8.66,20,130,0,0,2,2,2009
78,Ramesh PowarPBKS,DEC,23,9,4,3,10,23,22,104.54,0,0,2,0,2009
79,Ryan HarrisDEC,KKR,21,8,5,4,9*,21,18,116.66,0,0,0,0,2009
80,Murali KartikKKR,CSK,21,10,2,2,11*,0,20,105,0,0,0,0,2009
81,Joginder SharmaCSK,CSK,20,4,2,1,16*,20,18,111.11,0,0,0,1,2009
82,Shadab JakatiCSK,RCB,20,9,2,1,13,20,15,133.33,0,0,3,0,2009
83,Rajesh BishnoiRCB,DEC,19,3,3,0,18,6.33,17,111.76,0,0,1,2,2009
84,VVS LaxmanDEC,RR,19,5,5,0,10,3.8,33,57.57,0,0,1,1,2009
85,Niraj PatelRR,RCB,18,4,2,0,14,9,38,47.36,0,0,1,0,2009
86,Balachandra AkhilRCB,KKR,17,6,3,1,9,8.5,15,113.33,0,0,1,1,2009
87,Angelo MathewsKKR,RR,16,1,1,0,16,16,13,123.07,0,0,2,0,2009
88,Mahesh RawatRR,KKR,16,5,3,3,8*,0,19,84.21,0,0,1,0,2009
89,Ishant SharmaKKR,RCB,16,11,3,1,9,8,13,123.07,0,0,1,1,2009
90,Anil KumbleRCB,MI,16,16,7,6,7*,16,19,84.21,0,0,2,0,2009
91,Graham NapierMI,RCB,15,1,1,0,15,15,16,93.75,0,0,1,0,2009
92,Wasim JafferRCB,DEC,15,2,2,0,8,7.5,17,88.23,0,0,2,0,2009
93,Scott StyrisDEC,MI,14,2,1,0,14,14,8,175,0,0,0,1,2009
94,Saurabh TiwaryMI,CSK,13,4,3,2,6*,13,12,108.33,0,0,0,0,2009
95,Manpreet GonyCSK,MI,13,7,3,1,7,6.5,7,185.71,0,0,0,2,2009
96,Rohan RajeMI,KKR,12,4,2,1,11*,12,9,133.33,0,0,0,1,2009
97,Aakash ChopraKKR,RR,11,2,1,0,11,11,19,57.89,0,0,2,0,2009
98,Tyron HendersonRR,RCB,11,2,2,0,11,5.5,16,68.75,0,0,0,1,2009
99,Dillon du PreezRCB,RR,10,2,1,0,10,10,13,76.92,0,0,0,0,2009
100,Shane HarwoodRR,RR,9,3,2,2,6*,0,14,64.28,0,0,0,0,2009
101,Siddharth TrivediRR,MI,9,7,3,1,6*,4.5,18,50,0,0,0,0,2009
