year,stage,venue,date_time,summary,team1,score1,team2,score2
2017,,"MATCH 41
Eden Gardens, Kolkata
MAY, WED 3 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 4 WICKETS,Kolkata Knight Riders,155/8,Rising Pune Supergiant,158/6
2017,,"MATCH 40
Arun Jaitley Stadium, Delhi
MAY, TUE 2 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 6 WICKETS,Delhi Daredevils,189/4,Sunrisers Hyderabad,185/3
2017,,"MATCH 39
Pune
MAY, MON 1 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 5 WICKETS,Rising Pune Supergiant,167/5,Gujarat Lions,161
2017,,"MATCH 38
Wankhede Stadium, Mumbai
MAY, MON 1 , 4:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,165/5,Royal Challengers Bangalore,162/8
2017,,"MATCH 37
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 30 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 48 RUNS,Sunrisers Hyderabad,209/3,Kolkata Knight Riders,161/7
2017,,"MATCH 36
IS Bindra Stadium, Mohali
APR, SUN 30 , 4:00 pm IST",,PUNJAB KINGS WON BY 10 WICKETS,Punjab Kings,68/0,Delhi Daredevils,67
2017,,"MATCH 35
Saurashtra Cricket Association Stadium, Rajkot
APR, SAT 29 , 8:00 pm IST",,MATCH TIED (MUMBAI INDIANS WON THE SUPER OVER),Gujarat Lions,153/9,Mumbai Indians,153
2017,,"MATCH 34
Pune
APR, SAT 29 , 4:00 pm IST",,RISING PUNE SUPERGIANT WON BY 61 RUNS,Rising Pune Supergiant,157/3,Royal Challengers Bangalore,96/9
2017,,"MATCH 33
IS Bindra Stadium, Mohali
APR, FRI 28 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 26 RUNS,Punjab Kings,181/9,Sunrisers Hyderabad,207/3
2017,,"MATCH 32
Eden Gardens, Kolkata
APR, FRI 28 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Kolkata Knight Riders,161/3,Delhi Daredevils,160/6
2017,,"MATCH 31
M. Chinnaswamy Stadium, Bengaluru
APR, THU 27 , 8:00 pm IST",,GUJARAT LIONS WON BY 7 WICKETS,Royal Challengers Bangalore,134,Gujarat Lions,135/3
2017,,"MATCH 30
Pune
APR, WED 26 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Rising Pune Supergiant,182/5,Kolkata Knight Riders,184/3
2017,,"MATCH 29
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 25 , 8:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Royal Challengers Bangalore,,Sunrisers Hyderabad,
2017,,"MATCH 28
Wankhede Stadium, Mumbai
APR, MON 24 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 3 RUNS,Mumbai Indians,157/8,Rising Pune Supergiant,160/6
2017,,"MATCH 27
Eden Gardens, Kolkata
APR, SUN 23 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 82 RUNS,Kolkata Knight Riders,131,Royal Challengers Bangalore,49
2017,,"MATCH 26
Saurashtra Cricket Association Stadium, Rajkot
APR, SUN 23 , 4:00 pm IST",,PUNJAB KINGS WON BY 26 RUNS,Gujarat Lions,162/7,Punjab Kings,188/7
2017,,"MATCH 25
Wankhede Stadium, Mumbai
APR, SAT 22 , 8:00 pm IST",,MUMBAI INDIANS WON BY 14 RUNS,Mumbai Indians,142/8,Delhi Daredevils,128/7
2017,,"MATCH 24
Pune
APR, SAT 22 , 4:00 pm IST",,RISING PUNE SUPERGIANT WON BY 6 WICKETS,Rising Pune Supergiant,179/4,Sunrisers Hyderabad,176/3
2017,,"MATCH 23
Eden Gardens, Kolkata
APR, FRI 21 , 8:00 pm IST",,GUJARAT LIONS WON BY 4 WICKETS,Kolkata Knight Riders,187/5,Gujarat Lions,188/6
2017,,"MATCH 22
Holkar Cricket Stadium, Indore
APR, THU 20 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Punjab Kings,198/4,Mumbai Indians,199/2
2017,,"MATCH 21
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, WED 19 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 15 RUNS,Sunrisers Hyderabad,191/4,Delhi Daredevils,176/5
2017,,"MATCH 20
Saurashtra Cricket Association Stadium, Rajkot
APR, TUE 18 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 21 RUNS,Gujarat Lions,192/7,Royal Challengers Bangalore,213/2
2017,,"MATCH 19
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, MON 17 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 RUNS,Sunrisers Hyderabad,159/6,Punjab Kings,154
2017,,"MATCH 18
Arun Jaitley Stadium, Delhi
APR, MON 17 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Delhi Daredevils,168/7,Kolkata Knight Riders,169/6
2017,,"MATCH 17
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 16 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 27 RUNS,Royal Challengers Bangalore,134/9,Rising Pune Supergiant,161/8
2017,,"MATCH 16
Wankhede Stadium, Mumbai
APR, SUN 16 , 4:00 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,177/4,Gujarat Lions,176/4
2017,,"MATCH 15
Arun Jaitley Stadium, Delhi
APR, SAT 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 51 RUNS,Delhi Daredevils,188/6,Punjab Kings,137/9
2017,,"MATCH 14
Eden Gardens, Kolkata
APR, SAT 15 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 17 RUNS,Kolkata Knight Riders,172/6,Sunrisers Hyderabad,155/6
2017,,"MATCH 13
Saurashtra Cricket Association Stadium, Rajkot
APR, FRI 14 , 8:00 pm IST",,GUJARAT LIONS WON BY 7 WICKETS,Gujarat Lions,172/3,Rising Pune Supergiant,171/8
2017,,"MATCH 12
M. Chinnaswamy Stadium, Bengaluru
APR, FRI 14 , 4:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Royal Challengers Bangalore,142/5,Mumbai Indians,145/6
2017,,"MATCH 11
Eden Gardens, Kolkata
APR, THU 13 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,Kolkata Knight Riders,171/2,Punjab Kings,170/9
2017,,"MATCH 10
Wankhede Stadium, Mumbai
APR, WED 12 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Mumbai Indians,159/6,Sunrisers Hyderabad,158/8
2017,,"MATCH 9
Pune
APR, TUE 11 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 97 RUNS,Rising Pune Supergiant,108,Delhi Daredevils,205/4
2017,,"MATCH 8
Holkar Cricket Stadium, Indore
APR, MON 10 , 8:00 pm IST",,PUNJAB KINGS WON BY 8 WICKETS,Punjab Kings,150/2,Royal Challengers Bangalore,148/4
2017,,"MATCH 7
Wankhede Stadium, Mumbai
APR, SUN 9 , 8:00 pm IST",,MUMBAI INDIANS WON BY 4 WICKETS,Mumbai Indians,180/6,Kolkata Knight Riders,178/7
2017,,"MATCH 6
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 9 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 9 WICKETS,Sunrisers Hyderabad,140/1,Gujarat Lions,135/7
2017,,"MATCH 5
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 8 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 15 RUNS,Royal Challengers Bangalore,157/8,Delhi Daredevils,142/9
2017,,"MATCH 4
Holkar Cricket Stadium, Indore
APR, SAT 8 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,164/4,Rising Pune Supergiant,163/6
2017,,"MATCH 3
Saurashtra Cricket Association Stadium, Rajkot
APR, FRI 7 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 10 WICKETS,Gujarat Lions,183/4,Kolkata Knight Riders,184/0
2017,,"MATCH 2
Pune
APR, THU 6 , 8:00 pm IST",,RISING PUNE SUPERGIANT WON BY 7 WICKETS,Rising Pune Supergiant,187/3,Mumbai Indians,184/8
2017,,"MATCH 1
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, WED 5 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 35 RUNS,Sunrisers Hyderabad,207/4,Royal Challengers Bangalore,172
2018,,"MATCH 60
Wankhede Stadium, Mumbai
MAY, SUN 27 , 7:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Chennai Super Kings,181/2,Sunrisers Hyderabad,178/6
2018,,"MATCH 59
Eden Gardens, Kolkata
MAY, FRI 25 , 7:00 pm IST",,SUNRISERS HYDERABAD WON BY 14 RUNS,Sunrisers Hyderabad,174/7,Kolkata Knight Riders,160/9
2018,,"MATCH 58
Eden Gardens, Kolkata
MAY, WED 23 , 7:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 25 RUNS,Kolkata Knight Riders,169/7,Rajasthan Royals,144/4
2018,,"MATCH 57
Wankhede Stadium, Mumbai
MAY, TUE 22 , 7:00 pm IST",,CHENNAI SUPER KINGS WON BY 2 WICKETS,Sunrisers Hyderabad,139/7,Chennai Super Kings,140/8
2018,,"MATCH 56
Pune
MAY, SUN 20 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,159/5,Punjab Kings,153
2018,,"MATCH 55
Arun Jaitley Stadium, Delhi
MAY, SUN 20 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 11 RUNS,Delhi Daredevils,174/4,Mumbai Indians,163
2018,,"MATCH 54
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SAT 19 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,Sunrisers Hyderabad,172/9,Kolkata Knight Riders,173/5
2018,,"MATCH 53
Sawai Mansingh Stadium, Jaipur
MAY, SAT 19 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 30 RUNS,Rajasthan Royals,164/5,Royal Challengers Bangalore,134
2018,,"MATCH 52
Arun Jaitley Stadium, Delhi
MAY, FRI 18 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 34 RUNS,Delhi Daredevils,162/5,Chennai Super Kings,128/6
2018,,"MATCH 51
M. Chinnaswamy Stadium, Bengaluru
MAY, THU 17 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 14 RUNS,Royal Challengers Bangalore,218/6,Sunrisers Hyderabad,204/3
2018,,"MATCH 50
Wankhede Stadium, Mumbai
MAY, WED 16 , 8:00 pm IST",,MUMBAI INDIANS WON BY 3 RUNS,Mumbai Indians,186/8,Punjab Kings,183/5
2018,,"MATCH 49
Eden Gardens, Kolkata
MAY, TUE 15 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,145/4,Rajasthan Royals,142
2018,,"MATCH 48
Holkar Cricket Stadium, Indore
MAY, MON 14 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 10 WICKETS,Punjab Kings,88,Royal Challengers Bangalore,92/0
2018,,"MATCH 47
Wankhede Stadium, Mumbai
MAY, SUN 13 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Mumbai Indians,168/6,Rajasthan Royals,171/3
2018,,"MATCH 46
Pune
MAY, SUN 13 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 8 WICKETS,Chennai Super Kings,180/2,Sunrisers Hyderabad,179/4
2018,,"MATCH 45
Arun Jaitley Stadium, Delhi
MAY, SAT 12 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Delhi Daredevils,181/4,Royal Challengers Bangalore,187/5
2018,,"MATCH 44
Holkar Cricket Stadium, Indore
MAY, SAT 12 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 31 RUNS,Punjab Kings,214/8,Kolkata Knight Riders,245/6
2018,,"MATCH 43
Sawai Mansingh Stadium, Jaipur
MAY, FRI 11 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 4 WICKETS,Rajasthan Royals,177/6,Chennai Super Kings,176/4
2018,,"MATCH 42
Arun Jaitley Stadium, Delhi
MAY, THU 10 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 9 WICKETS,Delhi Daredevils,187/5,Sunrisers Hyderabad,191/1
2018,,"MATCH 41
Eden Gardens, Kolkata
MAY, WED 9 , 8:00 pm IST",,MUMBAI INDIANS WON BY 102 RUNS,Kolkata Knight Riders,108,Mumbai Indians,210/6
2018,,"MATCH 40
Sawai Mansingh Stadium, Jaipur
MAY, TUE 8 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 15 RUNS,Rajasthan Royals,158/8,Punjab Kings,143/7
2018,,"MATCH 39
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, MON 7 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 RUNS,Sunrisers Hyderabad,146,Royal Challengers Bangalore,141/6
2018,,"MATCH 38
Holkar Cricket Stadium, Indore
MAY, SUN 6 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,155/4,Rajasthan Royals,152/9
2018,,"MATCH 37
Wankhede Stadium, Mumbai
MAY, SUN 6 , 4:00 pm IST",,MUMBAI INDIANS WON BY 13 RUNS,Mumbai Indians,181/4,Kolkata Knight Riders,168/6
2018,,"MATCH 36
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SAT 5 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 7 WICKETS,Sunrisers Hyderabad,164/3,Delhi Daredevils,163/5
2018,,"MATCH 35
Pune
MAY, SAT 5 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings,128/4,Royal Challengers Bangalore,127/9
2018,,"MATCH 34
Holkar Cricket Stadium, Indore
MAY, FRI 4 , 8:00 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Punjab Kings,174/6,Mumbai Indians,176/4
2018,,"MATCH 33
Eden Gardens, Kolkata
MAY, THU 3 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Kolkata Knight Riders,180/4,Chennai Super Kings,177/5
2018,,"MATCH 32
Arun Jaitley Stadium, Delhi
MAY, WED 2 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 4 RUNS (DLS METHOD),Delhi Daredevils,196/6,Rajasthan Royals,146/5
2018,,"MATCH 31
M. Chinnaswamy Stadium, Bengaluru
MAY, TUE 1 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 14 RUNS,Royal Challengers Bangalore,167/7,Mumbai Indians,153/7
2018,,"MATCH 30
Pune
APR, MON 30 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 13 RUNS,Chennai Super Kings,211/4,Delhi Daredevils,198/5
2018,,"MATCH 29
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 29 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,Royal Challengers Bangalore,175/4,Kolkata Knight Riders,176/4
2018,,"MATCH 28
Sawai Mansingh Stadium, Jaipur
APR, SUN 29 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 11 RUNS,Rajasthan Royals,140/6,Sunrisers Hyderabad,151/7
2018,,"MATCH 27
Pune
APR, SAT 28 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Chennai Super Kings,169/5,Mumbai Indians,170/2
2018,,"MATCH 26
Arun Jaitley Stadium, Delhi
APR, FRI 27 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 55 RUNS,Delhi Daredevils,219/4,Kolkata Knight Riders,164/9
2018,,"MATCH 25
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, THU 26 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 13 RUNS,Sunrisers Hyderabad,132/6,Punjab Kings,119
2018,,"MATCH 24
M. Chinnaswamy Stadium, Bengaluru
APR, WED 25 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Royal Challengers Bangalore,205/8,Chennai Super Kings,207/5
2018,,"MATCH 23
Wankhede Stadium, Mumbai
APR, TUE 24 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 31 RUNS,Mumbai Indians,87,Sunrisers Hyderabad,118
2018,,"MATCH 22
Arun Jaitley Stadium, Delhi
APR, MON 23 , 8:00 pm IST",,PUNJAB KINGS WON BY 4 RUNS,Delhi Daredevils,139/8,Punjab Kings,143/8
2018,,"MATCH 21
Sawai Mansingh Stadium, Jaipur
APR, SUN 22 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Rajasthan Royals,168/7,Mumbai Indians,167/7
2018,,"MATCH 20
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 22 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 RUNS,Sunrisers Hyderabad,178/6,Chennai Super Kings,182/3
2018,,"MATCH 19
M. Chinnaswamy Stadium, Bengaluru
APR, SAT 21 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Royal Challengers Bangalore,176/4,Delhi Daredevils,174/5
2018,,"MATCH 18
Eden Gardens, Kolkata
APR, SAT 21 , 4:00 pm IST",,KINGS XI PUNJAB WON BY 9 WICKETS (DLS METHOD),Kolkata Knight Riders,191/7,Punjab Kings,126/1
2018,,"MATCH 17
Pune
APR, FRI 20 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 64 RUNS,Chennai Super Kings,204/5,Rajasthan Royals,140
2018,,"MATCH 16
IS Bindra Stadium, Mohali
APR, THU 19 , 8:00 pm IST",,PUNJAB KINGS WON BY 15 RUNS,Punjab Kings,193/3,Sunrisers Hyderabad,178/4
2018,,"MATCH 15
Sawai Mansingh Stadium, Jaipur
APR, WED 18 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Rajasthan Royals,160/8,Kolkata Knight Riders,163/3
2018,,"MATCH 14
Wankhede Stadium, Mumbai
APR, TUE 17 , 8:00 pm IST",,MUMBAI INDIANS WON BY 46 RUNS,Mumbai Indians,213/6,Royal Challengers Bangalore,167/8
2018,,"MATCH 13
Eden Gardens, Kolkata
APR, MON 16 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 71 RUNS,Kolkata Knight Riders,200/9,Delhi Daredevils,129
2018,,"MATCH 12
IS Bindra Stadium, Mohali
APR, SUN 15 , 8:00 pm IST",,PUNJAB KINGS WON BY 4 RUNS,Punjab Kings,197/7,Chennai Super Kings,193/5
2018,,"MATCH 11
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 15 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 19 RUNS,Royal Challengers Bangalore,198/6,Rajasthan Royals,217/4
2018,,"MATCH 10
Eden Gardens, Kolkata
APR, SAT 14 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 5 WICKETS,Kolkata Knight Riders,138/8,Sunrisers Hyderabad,139/5
2018,,"MATCH 9
Wankhede Stadium, Mumbai
APR, SAT 14 , 4:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Mumbai Indians,194/7,Delhi Daredevils,195/3
2018,,"MATCH 8
M. Chinnaswamy Stadium, Bengaluru
APR, FRI 13 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Royal Challengers Bangalore,159/6,Punjab Kings,155
2018,,"MATCH 7
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, THU 12 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 1 WICKET,Sunrisers Hyderabad,151/9,Mumbai Indians,147/8
2018,,"MATCH 6
Sawai Mansingh Stadium, Jaipur
APR, WED 11 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 10 RUNS (DLS METHOD),Rajasthan Royals,153/5,Delhi Daredevils,60/4
2018,,"MATCH 5
M. A. Chidambaram Stadium, Chennai
APR, TUE 10 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 5 WICKETS,Chennai Super Kings,205/5,Kolkata Knight Riders,202/6
2018,,"MATCH 4
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, MON 9 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 9 WICKETS,Sunrisers Hyderabad,127/1,Rajasthan Royals,125/9
2018,,"MATCH 3
Eden Gardens, Kolkata
APR, SUN 8 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 4 WICKETS,Kolkata Knight Riders,177/6,Royal Challengers Bangalore,176/7
2018,,"MATCH 2
IS Bindra Stadium, Mohali
APR, SUN 8 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,167/4,Delhi Daredevils,166/7
2018,,"MATCH 1
Wankhede Stadium, Mumbai
APR, SAT 7 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 1 WICKET,Mumbai Indians,165/4,Chennai Super Kings,169/9
2019,,"MATCH 60
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 12 , 7:30 pm IST",,MUMBAI INDIANS WON BY 1 RUN,Mumbai Indians,149/8,Chennai Super Kings,148/7
2019,,"MATCH 59
ACA-VDCA Stadium, Visakhapatnam
MAY, FRI 10 , 7:30 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings,151/4,Delhi Capitals,147/9
2019,,"MATCH 58
ACA-VDCA Stadium, Visakhapatnam
MAY, WED 8 , 7:30 pm IST",,DELHI CAPITALS WON BY 2 WICKETS,Delhi Capitals,165/8,Sunrisers Hyderabad,162/8
2019,,"MATCH 57
M. A. Chidambaram Stadium, Chennai
MAY, TUE 7 , 7:30 pm IST",,MUMBAI INDIANS WON BY 6 WICKETS,Mumbai Indians,132/4,Chennai Super Kings,131/4
2019,,"MATCH 56
Wankhede Stadium, Mumbai
MAY, SUN 5 , 8:00 pm IST",,MUMBAI INDIANS WON BY 9 WICKETS,Mumbai Indians,134/1,Kolkata Knight Riders,133/7
2019,,"MATCH 55
IS Bindra Stadium, Mohali
MAY, SUN 5 , 4:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,173/4,Chennai Super Kings,170/5
2019,,"MATCH 54
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 4 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 4 WICKETS,Royal Challengers Bangalore,178/6,Sunrisers Hyderabad,175/7
2019,,"MATCH 53
Arun Jaitley Stadium, Delhi
MAY, SAT 4 , 4:00 pm IST",,DELHI CAPITALS WON BY 5 WICKETS,Delhi Capitals,121/5,Rajasthan Royals,115/9
2019,,"MATCH 52
IS Bindra Stadium, Mohali
MAY, FRI 3 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,Punjab Kings,183/6,Kolkata Knight Riders,185/3
2019,,"MATCH 51
Wankhede Stadium, Mumbai
MAY, THU 2 , 8:00 pm IST",,MATCH TIED (MUMBAI INDIANS WON THE SUPER OVER),Mumbai Indians,162/5,Sunrisers Hyderabad,162/6
2019,,"MATCH 50
M. A. Chidambaram Stadium, Chennai
MAY, WED 1 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 80 RUNS,Chennai Super Kings,179/4,Delhi Capitals,99
2019,,"MATCH 49
M. Chinnaswamy Stadium, Bengaluru
APR, TUE 30 , 8:00 pm IST",,NO RESULT,Royal Challengers Bangalore,62/7,Rajasthan Royals,41/1
2019,,"FINAL
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, MON 29 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 45 RUNS,Sunrisers Hyderabad,212/6,Punjab Kings,167/8
2019,,"MATCH 47
Eden Gardens, Kolkata
APR, SUN 28 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 34 RUNS,Kolkata Knight Riders,232/2,Mumbai Indians,198/7
2019,,"MATCH 46
Arun Jaitley Stadium, Delhi
APR, SUN 28 , 4:00 pm IST",,DELHI CAPITALS WON BY 16 RUNS,Delhi Capitals,187/5,Royal Challengers Bangalore,171/7
2019,,"MATCH 45
Sawai Mansingh Stadium, Jaipur
APR, SAT 27 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 7 WICKETS,Rajasthan Royals,161/3,Sunrisers Hyderabad,160/8
2019,,"MATCH 44
M. A. Chidambaram Stadium, Chennai
APR, FRI 26 , 8:00 pm IST",,MUMBAI INDIANS WON BY 46 RUNS,Chennai Super Kings,109,Mumbai Indians,155/4
2019,,"MATCH 43
Eden Gardens, Kolkata
APR, THU 25 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Kolkata Knight Riders,175/6,Rajasthan Royals,177/7
2019,,"MATCH 42
M. Chinnaswamy Stadium, Bengaluru
APR, WED 24 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 17 RUNS,Royal Challengers Bangalore,202/4,Punjab Kings,185/7
2019,,"MATCH 41
M. A. Chidambaram Stadium, Chennai
APR, TUE 23 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 6 WICKETS,Chennai Super Kings,176/4,Sunrisers Hyderabad,175/3
2019,,"MATCH 40
Sawai Mansingh Stadium, Jaipur
APR, MON 22 , 8:00 pm IST",,DELHI CAPITALS WON BY 6 WICKETS,Rajasthan Royals,191/6,Delhi Capitals,193/4
2019,,"MATCH 39
M. Chinnaswamy Stadium, Bengaluru
APR, SUN 21 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 1 RUN,Royal Challengers Bangalore,161/7,Chennai Super Kings,160/8
2019,,"MATCH 38
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, SUN 21 , 4:00 pm IST",,SUNRISERS HYDERABAD WON BY 9 WICKETS,Sunrisers Hyderabad,161/1,Kolkata Knight Riders,159/8
2019,,"MATCH 37
Arun Jaitley Stadium, Delhi
APR, SAT 20 , 8:00 pm IST",,DELHI CAPITALS WON BY 5 WICKETS,Delhi Capitals,166/5,Punjab Kings,163/7
2019,,"MATCH 36
Sawai Mansingh Stadium, Jaipur
APR, SAT 20 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals,162/5,Mumbai Indians,161/5
2019,,"MATCH 35
Eden Gardens, Kolkata
APR, FRI 19 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 10 RUNS,Kolkata Knight Riders,203/5,Royal Challengers Bangalore,213/4
2019,,"MATCH 34
Arun Jaitley Stadium, Delhi
APR, THU 18 , 8:00 pm IST",,MUMBAI INDIANS WON BY 40 RUNS,Delhi Capitals,128/9,Mumbai Indians,168/5
2019,,"MATCH 33
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
APR, WED 17 , 8:00 pm IST",,SUNRISERS HYDERABAD WON BY 6 WICKETS,Sunrisers Hyderabad,137/4,Chennai Super Kings,132/5
2019,,"MATCH 32
IS Bindra Stadium, Mohali
APR, TUE 16 , 8:00 pm IST",,PUNJAB KINGS WON BY 12 RUNS,Punjab Kings,182/6,Rajasthan Royals,170/7
2019,,"MATCH 31
Wankhede Stadium, Mumbai
APR, MON 15 , 8:00 pm IST",,MUMBAI INDIANS WON BY 5 WICKETS,Mumbai Indians,172/5,Royal Challengers Bangalore,171/7
