year,stage,venue,date_time,summary,team1,score1,team2,score2
2009,,"MATCH 46
OUTsurance Oval, Bloemfontein
MAY, FRI 15 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Delhi Daredevils,120/9,Punjab Kings,123/4
2009,,"MATCH 45
Kingsmead, Durban
MAY, THU 14 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 2 RUNS,Mumbai Indians,143,Rajasthan Royals,145/7
2009,,"MATCH 44
Kingsmead, Durban
MAY, THU 14 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 2 WICKETS,Royal Challengers Bangalore,132/8,Chennai Super Kings,129
2009,,"MATCH 43
Kingsmead, Durban
MAY, WED 13 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 12 RUNS,Deccan Chargers,161,Delhi Daredevils,173/7
2009,,"MATCH 42
SuperSport Park, Centurion
MAY, TUE 12 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Punjab Kings,119/9,Mumbai Indians,122/2
2009,,"MATCH 41
SuperSport Park, Centurion
MAY, TUE 12 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,Royal Challengers Bangalore,176/4,Kolkata Knight Riders,173/4
2009,,"MATCH 40
De Beers Diamond Oval, Kimberley
MAY, MON 11 , 8:00 pm IST",,DECCAN CHARGERS WON BY 53 RUNS,Deccan Chargers,166/7,Rajasthan Royals,113
2009,,"MATCH 39
New Wanderers Stadium, Johannesburg
MAY, SUN 10 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 7 WICKETS,Delhi Daredevils,125/3,Kolkata Knight Riders,123/8
2009,,"MATCH 38
Port Elizabeth
MAY, SUN 10 , 4:00 pm IST",,MUMBAI INDIANS WON BY 16 RUNS,Royal Challengers Bangalore,141/7,Mumbai Indians,157/2
2009,,"MATCH 37
De Beers Diamond Oval, Kimberley
MAY, SAT 9 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Chennai Super Kings,141/3,Rajasthan Royals,140/7
2009,,"MATCH 36
De Beers Diamond Oval, Kimberley
MAY, SAT 9 , 4:00 pm IST",,PUNJAB KINGS WON BY 3 WICKETS,Deccan Chargers,168/5,Punjab Kings,169/7
